fips,date,state,county,cases,deaths
00000,2020-01-22,Washington,n/a,2,0
00000,2020-01-23,Washington,n/a,2,0
00000,2020-01-24,Washington,n/a,2,0
00000,2020-01-25,Washington,n/a,2,0
00000,2020-01-26,Washington,n/a,2,0
00000,2020-01-27,Washington,n/a,2,0
00000,2020-01-28,Washington,n/a,2,0
00000,2020-01-29,Washington,n/a,3,0
00000,2020-01-30,Washington,n/a,3,0
00000,2020-01-31,Washington,n/a,3,0
00000,2020-02-01,Washington,n/a,4,0
00000,2020-02-02,Washington,n/a,6,0
00000,2020-02-03,Washington,n/a,7,0
00000,2020-02-04,Washington,n/a,8,0
00000,2020-02-05,Washington,n/a,8,0
00000,2020-02-06,Washington,n/a,11,0
00000,2020-02-07,Washington,n/a,12,0
00000,2020-02-08,Washington,n/a,13,0
00000,2020-02-09,Washington,n/a,13,0
00000,2020-02-10,Washington,n/a,16,0
00000,2020-02-11,Washington,n/a,17,0
00000,2020-02-12,Washington,n/a,18,0
00000,2020-02-13,Washington,n/a,18,0
00000,2020-02-14,Washington,n/a,21,0
00000,2020-02-15,Washington,n/a,28,0
00000,2020-02-16,Washington,n/a,35,0
00000,2020-02-17,Washington,n/a,50,0
00000,2020-02-18,Washington,n/a,59,0
00000,2020-02-19,Washington,n/a,69,0
00000,2020-02-20,Washington,n/a,82,0
00000,2020-02-21,Washington,n/a,93,0
00000,2020-02-22,Washington,n/a,106,0
00000,2020-02-23,Washington,n/a,122,0
00000,2020-02-24,Washington,n/a,148,0
00000,2020-02-25,Washington,n/a,179,0
00000,2020-02-26,Washington,n/a,208,2
00000,2020-02-27,Washington,n/a,235,2
00000,2020-02-28,Washington,n/a,275,4
00000,2020-02-29,Washington,n/a,299,5
00000,2020-03-01,Washington,n/a,377,8
00000,2020-03-02,Washington,n/a,450,11
00000,2020-03-03,Washington,n/a,534,14
00000,2020-03-04,Washington,n/a,626,16
00000,2020-03-05,Washington,n/a,731,20
00000,2020-03-06,Washington,n/a,813,26
00000,2020-03-07,Washington,n/a,912,27
00000,2020-03-08,Washington,n/a,1065,31
00000,2020-03-09,Washington,n/a,1237,35
00000,2020-03-10,Washington,n/a,1453,37
00000,2020-03-11,Washington,n/a,1665,40
00000,2020-03-12,Washington,n/a,1921,44
00000,2020-03-13,Washington,n/a,2218,47
00000,2020-03-14,Washington,n/a,2484,51
00000,2020-03-15,Washington,n/a,2738,57
00000,2020-03-16,Washington,n/a,3107,69
00000,2020-03-17,Washington,n/a,3432,78
00000,2020-03-18,Washington,n/a,3810,82
00000,2020-03-19,Washington,n/a,4146,92
00000,2020-03-20,Washington,n/a,4551,104
00000,2020-03-21,Washington,n/a,4837,111
00000,2020-03-22,Washington,n/a,5121,126
00000,2020-03-23,Washington,n/a,5568,137
