fips,state,county,total population,median income (household),white population (%),male population (%),median age,persons per household,persons in poverty (%),high school graduates (%),bachelor's degrees (%),married female population (%),married male population (%)
01001,Alabama,Autauga,55200,58786,76.9,48.7,37.8,2.59,15.4,88.7,27.7,53.3,60.1
01003,Alabama,Baldwin,208107,55962,86.3,48.6,42.8,2.61,10.6,90.3,31.3,49.7,55.4
01005,Alabama,Barbour,25782,34186,47.4,53.1,39.9,2.49,28.9,73.0,12.2,41.5,40.9
01007,Alabama,Bibb,22527,45340,76.7,53.9,39.9,2.99,14.0,83.2,11.5,46.1,42.9
01009,Alabama,Blount,57645,48695,95.5,49.3,40.8,2.77,14.4,80.2,12.6,58.4,57.9
01011,Alabama,Bullock,10352,32152,22.0,54.7,39.6,2.75,31.4,75.2,13.3,33.0,37.8
01013,Alabama,Butler,20025,39109,52.0,46.8,40.7,2.94,23.5,84.6,16.1,39.5,41.5
01015,Alabama,Calhoun,115098,45197,74.3,48.1,39.7,2.49,18.6,84.1,18.0,46.7,50.5
01017,Alabama,Chambers,33826,39872,57.6,48.1,43.0,2.46,16.6,81.4,13.2,41.8,48.6
01019,Alabama,Cherokee,25853,41014,92.8,49.6,45.9,2.41,15.0,80.2,12.9,56.8,61.5
01021,Alabama,Chilton,43930,45182,83.3,49.3,38.6,2.6,18.6,82.2,14.2,52.1,53.2
01023,Alabama,Choctaw,13075,34884,56.7,47.8,46.1,2.41,22.2,81.4,13.0,43.4,50.2
01025,Alabama,Clarke,24387,36127,53.0,47.3,42.3,2.57,25.4,81.2,12.6,42.7,52.0
01027,Alabama,Clay,13378,41225,83.0,48.3,43.7,2.51,18.4,75.5,10.2,49.9,58.3
01029,Alabama,Cleburne,14938,40188,94.2,48.7,42.5,2.58,18.5,77.4,13.7,54.2,55.4
01031,Alabama,Coffee,51288,53155,75.9,49.4,39.3,2.56,15.1,86.2,23.4,52.7,53.9
01033,Alabama,Colbert,54495,47558,79.4,47.8,42.7,2.48,16.3,84.4,18.7,49.9,54.0
01035,Alabama,Conecuh,12514,33177,50.9,48.2,44.8,2.73,22.2,80.8,10.7,34.7,41.5
01037,Alabama,Coosa,10855,38301,65.7,50.7,46.9,2.55,14.0,79.6,11.6,46.1,43.0
01039,Alabama,Covington,37351,40601,84.7,48.7,43.9,2.44,18.3,82.9,14.9,48.3,55.3
01041,Alabama,Crenshaw,13865,39812,71.7,49.1,41.5,2.73,15.7,78.4,15.6,44.3,49.0
01043,Alabama,Cullman,82313,42558,95.2,49.3,40.6,2.64,15.8,81.8,13.7,53.0,56.2
