State,County,Max AQI,90th Percentile AQI,Median AQI
Alabama,Baldwin,48,39,20
Alabama,Clay,31,31,15
Alabama,DeKalb,45,40,32
Alabama,Etowah,40,40,28
Alabama,Jefferson,63,54,35
Alabama,Mobile,58,51,27
Alabama,Montgomery,64,57,41
Alabama,Morgan,37,28,21
Alabama,Russell,57,42,25
Alabama,Shelby,51,34,1
Alabama,Sumter,36,26,18
Alabama,Tuscaloosa,34,34,23
Alaska,Denali,44,41,37
Alaska,Matanuska-Susitna,87,87,87
Arizona,Apache,18,14,8
Arizona,Cochise,56,43,38
Arizona,Coconino,50,46,42
Arizona,Gila,110,55,39
Arizona,La Paz,51,45,40
Arizona,Maricopa,199,72,44
Arizona,Mohave,26,16,7
Arizona,Navajo,44,41,35
Arizona,Pima,103,44,27
Arizona,Pinal,71,49,41
Arizona,Santa Cruz,165,64,32
Arizona,Yavapai,50,46,40
Arizona,Yuma,94,49,40
Arkansas,Arkansas,62,41,20
Arkansas,Ashley,48,38,20
Arkansas,Clark,48,39,31
Arkansas,Crittenden,66,43,33
Arkansas,Garland,65,41,23
Arkansas,Jackson,63,43,22
Arkansas,Newton,49,43,33
Arkansas,Polk,72,43,35
Arkansas,Pulaski,63,51,35
Arkansas,Union,52,41,28
Arkansas,Washington,63,45,36
California,Butte,62,62,38
California,Colusa,72,65,17
California,Fresno,118,79,46
California,Imperial,114,83,52
California,Inyo,49,41,33
California,Kern,106,80,54
California,Kings,90,63,34
California,Madera,75,75,50
California,Mariposa,48,44,40
California,Merced,87,85,61
California,Nevada,64,47,41
California,Placer,74,61,46
California,Plumas,114,76,52
California,Riverside,207,51,37
California,Sacramento,89,77,50
California,San Benito,45,44,35
California,San Bernardino,80,48,42
California,San Diego,20,20,20
California,San Luis Obispo,56,44,33
California,Santa Barbara,55,45,40
California,Shasta,84,44,39
California,Stanislaus,74,74,45
California,Sutter,95,82,45
California,Tulare,111,79,39
California,Ventura,60,48,40
California,Yolo,38,38,35
Colorado,Adams,93,54,38
Colorado,Arapahoe,50,45,39
Colorado,Archuleta,53,36,19
Colorado,Boulder,58,44,38
Colorado,Clear Creek,50,47,43
Colorado,Denver,85,57,43
Colorado,Douglas,49,44,38
Colorado,El Paso,50,45,40
Colorado,Fremont,9,9,9
Colorado,Garfield,47,42,36
Colorado,Gilpin,58,50,44
Colorado,Gunnison,58,48,44
Colorado,Jefferson,50,46,42
Colorado,La Plata,44,43,38
Colorado,Larimer,61,49,44
Colorado,Mesa,49,44,38
Colorado,Montezuma,48,44,42
Colorado,Pitkin,28,10,7
