id,timestamp,susceptible,exposed,carrier,infected,hospitalized,icu,dead,recovered
3299ac87edd54fcdb8bdaa558cffee53,0,460,0,8,0,0,0,0,0
3299ac87edd54fcdb8bdaa558cffee53,1,460,0,3,0,0,0,0,5
3299ac87edd54fcdb8bdaa558cffee53,2,459,1,1,1,0,0,0,6
3299ac87edd54fcdb8bdaa558cffee53,3,459,0,1,1,0,0,0,7
3299ac87edd54fcdb8bdaa558cffee53,4,459,0,0,0,1,0,0,8
3299ac87edd54fcdb8bdaa558cffee53,5,459,0,0,0,0,0,0,9
ddda870af2c442ceb80a2bb6ea1ae3d9,0,2887,0,3,0,0,0,0,0
ddda870af2c442ceb80a2bb6ea1ae3d9,1,2868,19,1,2,0,0,0,0
ddda870af2c442ceb80a2bb6ea1ae3d9,2,2852,26,10,1,1,0,0,0
ddda870af2c442ceb80a2bb6ea1ae3d9,3,2769,96,19,2,1,0,0,3
ddda870af2c442ceb80a2bb6ea1ae3d9,4,2668,142,64,6,0,1,0,9
ddda870af2c442ceb80a2bb6ea1ae3d9,5,2491,244,104,20,1,0,1,29
ddda870af2c442ceb80a2bb6ea1ae3d9,6,2190,429,160,40,7,0,1,63
ddda870af2c442ceb80a2bb6ea1ae3d9,7,1990,412,272,64,21,2,1,128
ddda870af2c442ceb80a2bb6ea1ae3d9,8,1647,558,319,107,32,6,2,219
ddda870af2c442ceb80a2bb6ea1ae3d9,9,1415,521,405,137,45,11,4,352
ddda870af2c442ceb80a2bb6ea1ae3d9,10,1114,568,406,171,69,18,6,538
ddda870af2c442ceb80a2bb6ea1ae3d9,11,950,463,442,206,83,35,12,699
ddda870af2c442ceb80a2bb6ea1ae3d9,12,678,504,404,254,108,45,20,877
ddda870af2c442ceb80a2bb6ea1ae3d9,13,529,406,421,262,119,56,28,1069
ddda870af2c442ceb80a2bb6ea1ae3d9,14,353,369,385,284,137,64,42,1256
ddda870af2c442ceb80a2bb6ea1ae3d9,15,283,249,349,275,136,79,56,1463
ddda870af2c442ceb80a2bb6ea1ae3d9,16,196,203,275,264,150,80,74,1648
ddda870af2c442ceb80a2bb6ea1ae3d9,17,141,161,212,217,152,82,99,1826
ddda870af2c442ceb80a2bb6ea1ae3d9,18,89,135,163,195,132,87,120,1969
ddda870af2c442ceb80a2bb6ea1ae3d9,19,55,105,141,155,117,82,143,2092
ddda870af2c442ceb80a2bb6ea1ae3d9,20,22,84,107,132,111,75,162,2197
ddda870af2c442ceb80a2bb6ea1ae3d9,21,7,56,86,128,76,66,183,2288
ddda870af2c442ceb80a2bb6ea1ae3d9,22,2,36,56,111,78,54,194,2359
ddda870af2c442ceb80a2bb6ea1ae3d9,23,0,19,38,83,67,52,207,2424
ddda870af2c442ceb80a2bb6ea1ae3d9,24,0,7,24,64,49,53,216,2477
ddda870af2c442ceb80a2bb6ea1ae3d9,25,0,3,13,49,34,37,230,2524
ddda870af2c442ceb80a2bb6ea1ae3d9,26,0,3,4,31,31,41,233,2547
ddda870af2c442ceb80a2bb6ea1ae3d9,27,0,0,4,22,17,27,248,2572
ddda870af2c442ceb80a2bb6ea1ae3d9,28,0,0,2,18,9,17,255,2589
ddda870af2c442ceb80a2bb6ea1ae3d9,29,0,0,1,17,4,13,260,2595
