state,county,male life expectancy,female life expectancy
Alabama,Autauga,73.3,78.8
Alabama,Baldwin,75.0,80.3
Alabama,Barbour,72.2,77.2
Alabama,Bibb,71.5,76.8
Alabama,Blount,73.1,78.6
Alabama,Bullock,67.2,76.4
Alabama,Butler,69.4,78.1
Alabama,Calhoun,70.8,75.8
Alabama,Chambers,70.1,76.4
Alabama,Cherokee,72.2,77.1
Alabama,Chilton,70.8,76.9
Alabama,Choctaw,71.5,78.6
Alabama,Clarke,72.3,77.4
Alabama,Clay,71.7,76.6
Alabama,Cleburne,71.7,76.6
Alabama,Coffee,74.1,78.4
Alabama,Colbert,70.4,77.8
Alabama,Conecuh,69.4,78.1
Alabama,Coosa,70.8,76.9
Alabama,Covington,72.2,77.5
Alabama,Crenshaw,70.2,76.4
Alabama,Cullman,72.3,77.7
Alabama,Dale,73.4,78.0
Alabama,Dallas,68.6,75.4
Alabama,DeKalb,72.1,77.3
Alabama,Elmore,72.9,78.4
Alabama,Escambia,71.0,77.7
Alabama,Etowah,70.3,75.3
Alabama,Fayette,70.4,75.8
Alabama,Franklin,70.7,74.9
Alabama,Geneva,72.2,78.1
Alabama,Greene,70.0,77.9
Alabama,Hale,68.1,76.8
Alabama,Henry,71.9,78.5
Alabama,Houston,73.3,79.1
Alabama,Jackson,70.7,76.3
Alabama,Jefferson,72.0,77.5
Alabama,Lamar,71.8,77.2
Alabama,Lauderdale,72.8,78.8
Alabama,Lawrence,70.4,77.5
Alabama,Lee,76.3,78.7
Alabama,Limestone,74.6,79.5
Alabama,Lowndes,70.2,76.4
Alabama,Macon,67.2,76.4
Alabama,Madison,75.1,79.5
Alabama,Marengo,70.1,77.1
Alabama,Marion,70.3,76.4
Alabama,Marshall,71.5,76.6
Alabama,Mobile,71.7,77.8
Alabama,Monroe,70.8,77.7
Alabama,Montgomery,73.3,78.0
Alabama,Morgan,72.9,77.9
Alabama,Perry,68.1,76.8
Alabama,Pickens,71.6,76.4
Alabama,Pike,71.5,77.3
Alabama,Randolph,70.7,77.5
Alabama,Russell,68.8,76.1
Alabama,Shelby,77.3,81.0
Alabama,St. Clair,72.3,78.5
Alabama,Sumter,70.0,77.9
Alabama,Talladega,70.5,76.1
Alabama,Tallapoosa,72.6,78.5
Alabama,Tuscaloosa,72.4,77.9
Alabama,Walker,68.2,75.0
Alabama,Washington,71.5,77.8
Alabama,Wilcox,70.1,77.1
Alabama,Winston,70.2,76.8
Alaska,Aleutians East,75.8,80.1
Alaska,Aleutians West,75.8,80.1
Alaska,Anchorage,75.8,80.1
Alaska,Bethel,75.8,80.1
Alaska,Bristol Bay,75.8,80.1
Alaska,Dillingham,75.8,80.1
Alaska,Fairbanks North Star,75.8,80.1
Alaska,Haines,75.8,80.1
Alaska,Hoonah-Angoon,75.8,80.1
Alaska,Juneau City and,75.8,80.1
Alaska,Kenai Peninsula,75.8,80.1
Alaska,Ketchikan Gateway,75.8,80.1
Alaska,Kodiak Island,75.8,80.1
Alaska,Lake and Peninsula,75.8,80.1
Alaska,Matanuska-Susitna,75.8,80.1
Alaska,Nome,75.8,80.1
Alaska,North Slope,75.8,80.1
Alaska,Northwest Arctic,75.8,80.1
Alaska,Petersburg,75.8,80.1
Alaska,Prince of Wales-Hyder,75.8,80.1
Alaska,Sitka City and,75.8,80.1
Alaska,Skagway,75.8,80.1
Alaska,Southeast Fairbanks,75.8,80.1
Alaska,Valdez-Cordova,75.8,80.1
Alaska,Wade Hampton,75.8,80.1
Alaska,Wrangell City and,75.8,80.1
Alaska,Yakutat City and,75.8,80.1
Alaska,Yukon-Koyukuk,75.8,80.1
Arizona,Apache,68.5,77.5
Arizona,Cochise,75.4,80.5
Arizona,Coconino,75.7,81.8
Arizona,Gila,72.2,79.7
Arizona,Graham,74.2,79.3
Arizona,Greenlee,74.2,79.3
Arizona,La Paz,77.6,82.2
Arizona,Maricopa,77.6,82.2
Arizona,Mohave,72.7,78.7
Arizona,Navajo,72.1,78.5
Arizona,Pima,76.5,81.3
Arizona,Pinal,78.1,82.4
Arizona,Santa Cruz,76.4,82.3
Arizona,Yavapai,75.7,81.6
Arizona,Yuma,77.6,82.2
Arkansas,Arkansas,71.9,77.5
Arkansas,Ashley,72.1,77.7
Arkansas,Baxter,73.3,79.7
Arkansas,Benton,76.7,81.1
Arkansas,Boone,74.3,79.3
Arkansas,Bradley,72.7,77.2
Arkansas,Calhoun,71.7,77.5
Arkansas,Carroll,74.7,79.7
Arkansas,Chicot,69.8,76.4
Arkansas,Clark,72.0,79.0
Arkansas,Clay,72.1,77.7
Arkansas,Cleburne,74.2,80.4
Arkansas,Cleveland,72.7,77.2
Arkansas,Columbia,71.1,78.6
Arkansas,Conway,72.5,78.5
Arkansas,Craighead,72.7,78.6
Arkansas,Crawford,72.1,78.4
Arkansas,Crittenden,68.1,75.4
Arkansas,Cross,71.6,78.2
Arkansas,Dallas,71.7,77.5
Arkansas,Desha,69.8,76.4
Arkansas,Drew,72.9,78.0
Arkansas,Faulkner,74.4,79.7
Arkansas,Franklin,72.9,79.1
Arkansas,Fulton,72.7,78.3
Arkansas,Garland,72.2,78.5
Arkansas,Grant,73.6,78.9
Arkansas,Greene,72.6,77.2
Arkansas,Hempstead,72.1,77.7
Arkansas,Hot Spring,71.8,78.7
Arkansas,Howard,71.4,76.5
Arkansas,Independence,72.6,78.0
Arkansas,Izard,72.7,78.3
Arkansas,Jackson,71.6,75.7
Arkansas,Jefferson,71.6,77.1
Arkansas,Johnson,73.3,77.7
Arkansas,Lafayette,70.3,77.0
Arkansas,Lawrence,72.0,77.2
Arkansas,Lee,69.4,76.5
Arkansas,Lincoln,72.9,78.0
Arkansas,Little River,71.4,76.5
Arkansas,Logan,71.2,77.8
Arkansas,Lonoke,73.1,78.7
Arkansas,Madison,72.8,79.1
Arkansas,Marion,73.5,79.1
Arkansas,Miller,71.9,77.3
Arkansas,Mississippi,68.0,73.9
Arkansas,Monroe,69.4,76.5
Arkansas,Montgomery,72.9,78.4
Arkansas,Nevada,70.3,77.0
Arkansas,Newton,74.5,79.5
Arkansas,Ouachita,70.5,76.2
Arkansas,Perry,72.5,78.5
Arkansas,Phillips,67.4,74.4
Arkansas,Pike,72.7,78.6
Arkansas,Poinsett,68.3,75.0
Arkansas,Polk,72.7,78.6
Arkansas,Pope,74.1,79.0
Arkansas,Prairie,71.0,77.6
Arkansas,Pulaski,73.3,78.7
Arkansas,Randolph,72.9,78.5
Arkansas,Saline,75.2,80.4
Arkansas,Scott,72.9,78.4
Arkansas,Searcy,74.5,79.5
Arkansas,Sebastian,73.1,78.8
Arkansas,Sevier,72.1,77.3
Arkansas,Sharp,73.2,78.9
Arkansas,St. Francis,70.8,76.0
Arkansas,Stone,74.1,79.6
Arkansas,Union,69.8,76.0
Arkansas,Van Buren,74.1,79.6
Arkansas,Washington,75.4,80.3
Arkansas,White,73.4,78.6
Arkansas,Woodruff,71.0,77.6
Arkansas,Yell,72.5,79.0
California,Alameda,79.2,83.1
California,Alpine,78.1,81.3
California,Amador,77.2,80.0
California,Butte,75.2,79.1
California,Calaveras,77.3,81.6
California,Colusa,78.1,80.3
California,Contra Costa,79.0,82.9
California,Del Norte,74.1,77.7
California,El Dorado,78.8,82.7
California,Fresno,76.2,80.9
California,Glenn,75.1,79.9
California,Humboldt,74.5,79.2
California,Imperial,77.2,82.9
California,Inyo,76.0,81.2
California,Kern,75.3,79.5
California,Kings,77.6,79.5
California,Lake,73.3,78.0
California,Lassen,75.3,78.8
California,Los Angeles,78.4,83.0
California,Madera,76.1,81.2
California,Marin,81.4,85.0
California,Mariposa,77.4,80.6
California,Mendocino,75.4,79.5
California,Merced,76.7,80.4
California,Modoc,75.3,78.8
California,Mono,78.1,81.3
California,Monterey,79.2,83.3
