state,county,male obesity prevalence (%),female obesity prevalence (%)
Alabama,Autauga,37.1,38.8
Alabama,Baldwin,33.5,33.9
Alabama,Barbour,41.5,51.6
Alabama,Bibb,40.7,45.2
Alabama,Blount,38.4,41.6
Alabama,Bullock,41.9,56.0
Alabama,Butler,39.8,50.3
Alabama,Calhoun,38.0,41.4
Alabama,Chambers,40.7,47.7
Alabama,Cherokee,39.5,41.7
Alabama,Chilton,41.8,44.3
Alabama,Choctaw,41.2,49.9
Alabama,Clarke,41.8,46.6
Alabama,Clay,39.2,45.4
Alabama,Cleburne,37.4,41.3
Alabama,Coffee,39.1,39.7
Alabama,Colbert,40.2,41.6
Alabama,Conecuh,40.6,49.5
Alabama,Coosa,41.6,48.4
Alabama,Covington,40.9,40.3
Alabama,Crenshaw,40.6,44.8
Alabama,Cullman,37.4,40.5
Alabama,Dale,39.1,44.1
Alabama,Dallas,40.0,56.2
Alabama,DeKalb,38.9,40.9
Alabama,Elmore,36.9,39.3
Alabama,Escambia,41.6,44.1
Alabama,Etowah,38.1,39.6
Alabama,Fayette,42.4,43.9
Alabama,Franklin,38.4,39.1
Alabama,Geneva,41.4,43.2
Alabama,Greene,43.8,58.0
Alabama,Hale,43.5,55.5
Alabama,Henry,40.8,47.4
Alabama,Houston,39.5,41.2
Alabama,Jackson,37.8,39.8
Alabama,Jefferson,33.5,43.8
Alabama,Lamar,40.3,38.3
Alabama,Lauderdale,34.9,38.8
Alabama,Lawrence,40.6,46.1
Alabama,Lee,36.3,39.5
Alabama,Limestone,39.1,40.9
Alabama,Lowndes,41.6,55.3
Alabama,Macon,39.9,53.9
Alabama,Madison,34.0,38.0
Alabama,Marengo,41.9,50.6
Alabama,Marion,38.9,39.1
Alabama,Marshall,37.2,38.7
Alabama,Mobile,38.1,42.1
Alabama,Monroe,39.0,49.7
Alabama,Montgomery,36.6,45.1
Alabama,Morgan,38.3,40.4
Alabama,Perry,42.7,57.4
Alabama,Pickens,41.8,48.3
Alabama,Pike,39.0,46.5
Alabama,Randolph,40.2,44.0
Alabama,Russell,41.3,48.3
Alabama,Shelby,37.2,32.4
Alabama,St. Clair,37.7,42.9
Alabama,Sumter,41.1,54.8
Alabama,Talladega,40.0,48.7
Alabama,Tallapoosa,37.5,45.2
Alabama,Tuscaloosa,37.2,43.0
Alabama,Walker,39.0,42.5
Alabama,Washington,40.6,46.2
Alabama,Wilcox,41.9,57.8
Alabama,Winston,38.5,41.9
Alaska,Aleutians East,29.7,37.8
Alaska,Aleutians West,30.7,36.2
Alaska,Anchorage,31.8,36.7
Alaska,Bethel,36.1,51.2
