susceptible,infected,dead,recovered
293,7,0,0
292,7,1,0
291,8,1,0
290,8,1,1
288,8,2,2
288,8,2,2
288,8,2,2
288,6,2,4
288,5,3,4
288,5,3,4
287,5,3,5
287,5,3,5
287,5,3,5
286,6,3,5
285,7,3,5
284,8,3,5
283,7,4,6
282,7,4,7
282,5,6,7
282,5,6,7
282,5,6,7
282,5,6,7
282,5,6,7
282,5,6,7
282,4,6,8
282,3,7,8
281,4,7,8
281,4,7,8
281,4,7,8
281,4,7,8
281,2,7,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,1,8,10
281,0,8,11
