susceptible,infected,dead,recovered
592,8,0,0
582,18,0,0
558,41,1,0
528,61,5,6
512,65,11,12
501,67,13,19
483,72,17,28
465,74,27,34
454,74,32,40
441,75,34,50
420,83,39,58
403,89,44,64
379,85,57,79
353,97,62,88
339,85,71,105
329,78,77,116
317,75,83,125
303,70,91,136
290,68,95,147
276,69,98,157
266,70,103,161
255,64,111,170
244,59,119,178
234,56,124,186
228,54,124,194
221,51,130,198
217,51,132,200
217,41,136,206
216,26,141,217
214,20,144,222
209,21,147,223
205,21,151,223
201,23,153,223
201,16,155,228
199,13,157,231
196,11,157,236
195,9,158,238
192,11,159,238
192,8,160,240
192,6,161,241
191,6,162,241
190,6,163,241
185,10,163,242
180,13,164,243
180,11,166,243
180,11,166,243
179,10,166,245
179,7,166,248
179,6,167,248
178,6,168,248
177,7,168,248
174,8,168,250
173,8,168,251
169,10,169,252
163,14,169,254
160,14,170,256
154,17,171,258
147,20,172,261
136,27,175,262
126,33,176,265
120,32,180,268
114,35,182,269
109,33,187,271
102,34,188,276
94,39,189,278
89,36,193,282
87,26,195,292
87,21,196,296
86,18,198,298
86,13,199,302
86,7,202,305
86,5,203,306
86,2,206,306
86,1,207,306
86,0,208,306
