susceptible,infected,dead,recovered
6997,3,0,0
6994,6,0,0
6992,7,1,0
6990,6,3,1
6988,5,4,3
6986,7,4,3
6976,12,6,6
6959,23,8,10
6921,54,9,16
6834,123,17,26
6712,203,25,60
6521,322,50,107
6243,499,85,173
5945,631,132,292
5639,696,228,437
5361,728,316,595
5047,779,417,757
4778,787,532,903
4508,753,653,1086
4271,711,760,1258
4095,617,862,1426
3963,525,946,1566
3848,464,1011,1677
3748,392,1080,1780
3677,306,1132,1885
3621,259,1168,1952
3589,189,1212,2010
3560,147,1240,2053
3539,112,1263,2086
3520,92,1280,2108
3506,81,1288,2125
3499,59,1296,2146
3495,44,1301,2160
3493,28,1310,2169
3490,19,1313,2178
3488,15,1316,2181
3487,11,1317,2185
3486,10,1318,2186
3485,8,1319,2188
3484,6,1321,2189
3482,5,1321,2192
3481,3,1322,2194
3480,4,1322,2194
3480,1,1322,2197
3480,0,1323,2197
