susceptible,infected,dead,recovered
3992,8,0,0
3989,6,3,2
3975,17,5,3
3929,61,6,4
3787,181,17,15
3503,411,49,37
3084,699,126,91
2583,973,260,184
2076,1167,449,308
1710,1133,694,463
1430,1036,919,615
1256,882,1108,754
1124,745,1263,868
1043,601,1393,963
991,441,1526,1042
947,347,1604,1102
916,261,1688,1135
896,212,1737,1155
886,154,1778,1182
877,105,1819,1199
873,85,1828,1214
867,68,1840,1225
861,55,1852,1232
859,36,1862,1243
858,23,1873,1246
857,15,1879,1249
857,10,1881,1252
857,6,1883,1254
857,2,1885,1256
857,2,1885,1256
857,1,1885,1257
857,0,1886,1257
