susceptible,infected,dead,recovered
1991,9,0,0
1986,12,2,0
1983,15,2,0
1981,16,2,1
1977,19,3,1
1972,23,4,1
1967,28,4,1
1962,30,6,2
1955,34,9,2
1952,34,12,2
1948,38,12,2
1944,39,14,3
1939,41,16,4
1933,43,19,5
1932,41,19,8
1929,40,23,8
1924,43,24,9
1919,46,24,11
1916,46,26,12
1915,44,29,12
1915,42,30,13
1910,42,33,15
1905,45,35,15
1903,42,38,17
1898,46,39,17
1891,51,41,17
1888,53,41,18
1882,56,43,19
1879,53,47,21
1877,53,49,21
1873,54,52,21
1868,55,54,23
1865,56,56,23
1859,62,56,23
1852,65,58,25
1849,63,63,25
1846,65,64,25
1842,68,64,26
1840,65,68,27
1840,62,70,28
1834,65,72,29
1831,61,76,32
1831,57,80,32
1830,56,81,33
1829,55,83,33
1829,52,86,33
1826,53,87,34
1825,50,91,34
1823,50,92,35
1822,49,94,35
1818,51,96,35
1817,46,102,35
1815,42,108,35
1813,38,113,36
1811,38,115,36
1811,34,117,38
1809,35,118,38
1807,37,118,38
1807,31,122,40
1804,32,123,41
1804,28,126,42
1804,25,129,42
1804,22,131,43
1804,20,133,43
1804,20,133,43
1803,20,134,43
1802,21,134,43
1798,23,136,43
1796,24,137,43
1795,24,137,44
1794,25,137,44
1792,24,138,46
1792,22,140,46
1791,21,141,47
1789,20,143,48
1787,22,143,48
1785,20,145,50
1783,22,145,50
1779,25,145,51
1776,27,145,52
1775,26,146,53
1773,26,147,54
1771,23,152,54
1771,23,152,54
1769,24,152,55
1768,21,155,56
1766,21,155,58
1765,20,157,58
1764,18,159,59
1763,16,161,60
1761,17,162,60
1761,16,162,61
1761,16,162,61
1761,15,162,62
1759,16,162,63
1759,15,163,63
1759,15,163,63
1758,15,164,63
1758,14,165,63
1758,14,165,63
1757,13,167,63
1757,13,167,63
1757,13,167,63
1757,13,167,63
1757,12,168,63
1757,11,169,63
1757,10,169,64
1757,9,170,64
1756,9,171,64
1756,9,171,64
1755,9,171,65
1755,9,171,65
1754,8,173,65
1754,8,173,65
1754,7,174,65
1754,7,174,65
1754,7,174,65
1754,7,174,65
1754,7,174,65
1754,6,175,65
1754,6,175,65
1754,6,175,65
1754,6,175,65
1754,5,176,65
1754,5,176,65
1754,5,176,65
1754,5,176,65
1754,5,176,65
1754,5,176,65
1754,4,177,65
1754,4,177,65
1754,4,177,65
1754,4,177,65
1753,5,177,65
1752,6,177,65
1752,6,177,65
1752,6,177,65
1752,6,177,65
1752,6,177,65
1752,5,178,65
1752,5,178,65
1752,5,178,65
1752,4,178,66
1752,3,178,67
1752,3,178,67
1752,3,178,67
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1752,2,178,68
1751,3,178,68
1751,2,178,69
1751,2,178,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,1,179,69
1751,0,179,70
