susceptible,infected,dead,recovered
3991,9,0,0
3981,18,0,1
3966,30,2,2
3936,56,2,6
3884,94,10,12
3805,160,19,16
3690,250,36,24
3493,402,65,40
3183,646,101,70
2739,994,163,104
2166,1398,284,152
1542,1774,444,240
1006,2028,633,333
670,2006,874,450
448,1883,1084,585
340,1672,1305,683
266,1469,1495,770
216,1269,1669,846
189,1079,1818,914
175,914,1939,972
167,764,2036,1033
163,647,2122,1068
154,521,2211,1114
153,433,2271,1143
150,369,2309,1172
149,305,2356,1190
148,260,2392,1200
146,212,2423,1219
145,179,2442,1234
144,142,2469,1245
144,117,2487,1252
144,97,2501,1258
144,77,2515,1264
144,67,2523,1266
144,58,2528,1270
144,45,2539,1272
144,32,2546,1278
144,24,2554,1278
144,18,2554,1284
144,16,2556,1284
144,15,2556,1285
144,13,2557,1286
144,10,2560,1286
144,8,2561,1287
144,8,2561,1287
144,6,2561,1289
144,5,2561,1290
144,3,2563,1290
144,2,2564,1290
144,1,2565,1290
144,0,2566,1290
