susceptible,infected,dead,recovered
998,2,0,0
997,3,0,0
995,4,1,0
987,10,2,1
964,31,3,2
933,53,8,6
896,78,14,12
829,125,27,19
742,180,50,28
649,225,79,47
573,258,104,65
520,246,139,95
475,224,178,123
446,205,206,143
418,193,230,159
398,170,258,174
368,155,283,194
357,125,309,209
340,109,331,220
331,87,354,228
323,72,369,236
318,56,380,246
313,50,385,252
311,36,394,259
307,29,402,262
307,24,405,264
306,18,411,265
305,13,416,266
303,13,417,267
302,9,422,267
302,6,425,267
301,6,426,267
301,6,426,267
300,5,426,269
300,4,427,269
300,2,428,270
300,1,429,270
300,1,429,270
300,1,429,270
300,1,429,270
300,1,429,270
300,1,429,270
300,0,429,271
