susceptible,infected,dead,recovered
3997,3,0,0
3995,5,0,0
3991,7,1,1
3987,9,3,1
3978,15,4,3
3963,26,5,6
3947,36,11,6
3930,46,15,9
3909,58,23,10
3888,60,38,14
3868,67,44,21
3850,68,59,23
3824,78,70,28
3794,85,84,37
3763,95,100,42
3740,93,116,51
3718,94,131,57
3700,90,148,62
3688,89,156,67
3676,89,166,69
3656,84,181,79
3636,87,193,84
3615,92,202,91
3600,88,217,95
3580,84,234,102
3563,86,243,108
3552,83,252,113
3535,88,258,119
3514,94,267,125
3498,85,288,129
3477,89,301,133
3454,96,306,144
3432,95,325,148
3415,93,337,155
3394,102,342,162
3383,94,352,171
3369,80,370,181
3360,75,379,186
3351,67,393,189
3340,66,402,192
3334,59,412,195
3326,51,422,201
3321,47,429,203
3318,41,435,206
3314,37,439,210
3312,32,444,212
3305,34,449,212
3302,29,453,216
3297,26,458,219
3292,27,461,220
3291,20,466,223
3290,21,466,223
3290,15,469,226
3289,15,469,227
3288,14,471,227
3286,14,472,228
3285,14,473,228
3277,19,475,229
3270,21,479,230
3261,28,481,230
3253,31,486,230
3247,32,489,232
3240,34,494,232
3226,42,498,234
3211,53,501,235
3199,56,508,237
3189,55,517,239
3182,51,524,243
3179,46,531,244
3171,43,538,248
3165,43,542,250
3156,44,547,253
3148,42,551,259
3135,43,558,264
3124,49,561,266
3110,53,567,270
3093,55,577,275
3080,53,586,281
3076,46,592,286
3065,43,602,290
3054,49,605,292
3040,46,616,298
3027,48,626,299
3015,49,634,302
3005,45,642,308
2994,49,646,311
2979,51,658,312
2966,53,666,315
2957,56,669,318
2948,53,675,324
2932,56,684,328
2919,54,694,333
2909,56,701,334
2897,58,708,337
2880,68,711,341
2866,63,726,345
2854,59,737,350
2840,59,747,354
2830,56,754,360
2822,51,765,362
2805,57,771,367
2787,64,780,369
2770,66,791,373
2750,72,802,376
2734,71,814,381
2722,73,818,387
2705,76,826,393
2687,79,833,401
2669,83,841,407
2657,80,852,411
2644,76,864,416
2631,80,868,421
2614,79,877,430
2591,89,887,433
2573,91,897,439
2563,85,905,447
2554,71,921,454
2547,67,928,458
2537,63,938,462
2518,69,944,469
2490,87,952,471
2471,78,970,481
2456,78,982,484
2441,83,987,489
2423,85,998,494
2409,85,1009,497
2396,79,1023,502
2386,72,1034,508
2371,70,1046,513
2354,71,1052,523
2335,80,1060,525
2320,80,1071,529
2304,84,1078,534
2286,92,1083,539
2262,95,1096,547
2241,95,1112,552
2224,92,1125,559
2212,84,1139,565
2203,79,1150,568
2189,76,1159,576
2175,75,1167,583
2160,76,1177,587
2144,75,1184,597
2128,81,1189,602
2110,86,1199,605
2093,91,1209,607
2079,85,1225,611
2063,75,1248,614
2050,72,1257,621
2040,63,1270,627
2031,57,1278,634
2019,59,1285,637
2009,55,1294,642
2001,51,1304,644
1992,47,1314,647
1985,44,1322,649
1979,40,1328,653
1967,41,1335,657
1951,49,1341,659
1942,43,1352,663
1934,41,1358,667
1934,30,1365,671
1930,25,1371,674
1927,20,1375,678
1921,23,1376,680
1914,25,1378,683
1911,26,1378,685
1904,25,1384,687
1899,26,1387,688
1895,25,1390,690
1890,25,1393,692
1889,16,1401,694
1887,14,1403,696
1885,15,1404,696
1881,17,1405,697
1879,16,1407,698
1877,15,1408,700
1875,16,1408,701
1874,15,1410,701
1873,13,1412,702
1871,13,1413,703
1869,10,1415,706
1868,7,1418,707
1868,6,1418,708
1867,7,1418,708
1866,7,1419,708
1865,6,1420,709
1865,5,1421,709
1865,5,1421,709
1865,3,1423,709
1865,3,1423,709
1865,2,1423,710
1865,2,1423,710
1865,0,1424,711
