susceptible,infected,dead,recovered
6997,3,0,0
6994,6,0,0
6988,11,0,1
6980,17,0,3
6968,28,0,4
6950,38,1,11
6941,36,2,21
6936,32,5,27
6931,28,7,34
6923,34,7,36
6915,36,8,41
6911,29,8,52
6904,28,10,58
6897,29,10,64
6889,33,10,68
6882,36,10,72
6876,37,11,76
6869,40,12,79
6865,35,13,87
6861,34,13,92
6858,34,13,95
6854,32,14,100
6850,31,14,105
6843,34,15,108
6837,37,15,111
6828,40,17,115
6823,37,17,123
6814,40,17,129
6809,41,17,133
6804,41,17,138
6797,42,19,142
6785,43,20,152
6774,46,20,160
6760,49,22,169
6748,54,22,176
6732,57,25,186
6722,61,26,191
6720,52,27,201
6718,46,27,209
6713,44,30,213
6709,41,30,220
6702,41,32,225
6694,46,33,227
6686,46,33,235
6678,47,33,242
6672,43,34,251
6666,39,35,260
6658,41,35,266
6653,39,38,270
6649,36,38,277
6646,33,38,283
6640,37,38,285
6631,37,39,293
6623,38,39,300
6614,37,40,309
6604,39,40,317
6591,45,41,323
6581,50,42,327
6573,47,43,337
6568,44,45,343
6562,42,45,351
6562,33,46,359
6561,23,46,370
6559,19,47,375
6558,18,47,377
6556,14,47,383
6553,15,47,385
6545,20,48,387
6538,23,49,390
6530,29,49,392
6523,31,49,397
6521,29,50,400
6518,26,50,406
6511,28,52,409
6504,29,52,415
6497,28,52,423
6494,29,52,425
6488,32,53,427
6483,32,53,432
6474,36,54,436
6468,36,54,442
6465,27,57,451
6459,29,57,455
6444,37,60,459
6436,34,62,468
6425,35,63,477
6415,43,63,479
6403,48,63,486
6395,48,64,493
6389,43,68,500
6382,44,69,505
6372,46,69,513
6361,52,70,517
6344,60,71,525
6321,75,72,532
6300,84,73,543
6282,83,75,560
6264,93,75,568
6252,91,77,580
6241,76,80,603
6227,74,80,619
6220,71,82,627
6212,62,82,644
6198,63,83,656
6190,58,85,667
6182,52,85,681
6177,47,87,689
6169,46,88,697
6163,44,90,703
6154,44,91,711
6145,45,92,718
6133,47,92,728
6121,53,92,734
6116,47,94,743
6111,40,96,753
6106,38,96,760
6098,39,96,767
6094,38,96,772
6093,30,98,779
6088,28,100,784
6082,29,100,789
6074,33,101,792
6063,39,101,797
6057,41,101,801
6053,36,103,808
6048,34,104,814
6046,32,104,818
6043,28,104,825
6040,28,104,828
6032,30,105,833
6027,28,105,840
6024,29,105,842
6020,29,105,846
6013,32,106,849
6007,33,106,854
5997,34,108,861
5990,34,108,868
5984,34,109,873
5980,32,111,877
5978,31,112,879
5974,28,113,885
5972,22,114,892
5971,18,114,897
5971,15,114,900
5969,17,114,900
5967,15,115,903
5965,15,115,905
5963,13,115,909
5961,12,115,912
5960,11,115,914
5957,14,115,914
5956,12,116,916
5954,10,116,920
5950,11,116,923
5948,12,116,924
5942,17,116,925
5938,19,116,927
5936,16,118,930
5933,18,118,931
5930,16,119,935
5929,14,119,938
5928,11,120,941
5927,12,120,941
5923,14,120,943
5918,18,120,944
5910,20,122,948
5900,28,122,950
5886,40,122,952
5878,40,122,960
5873,41,122,964
5863,44,122,971
5853,42,124,981
5842,43,125,990
5834,39,129,998
5826,39,129,1006
5821,35,131,1013
5819,27,131,1023
5817,25,132,1026
5812,26,133,1029
5804,27,134,1035
5799,31,134,1036
5794,34,135,1037
5788,36,135,1041
5784,30,136,1050
5781,25,136,1058
5778,24,137,1061
5773,27,137,1063
5768,26,138,1068
5765,25,139,1071
5765,23,139,1073
5761,22,141,1076
5755,25,141,1079
5748,26,144,1082
5739,28,145,1088
5730,30,145,1095
5722,32,145,1101
5714,34,146,1106
5711,32,146,1111
5708,29,146,1117
5705,27,146,1122
5705,20,148,1127
5703,15,148,1134
5701,15,149,1135
5698,17,149,1136
5694,20,150,1136
5693,18,151,1138
5689,17,152,1142
5687,17,152,1144
5686,15,153,1146
5685,15,153,1147
5684,16,153,1147
5684,12,154,1150
5683,9,155,1153
5683,8,155,1154
5682,8,155,1155
5682,8,155,1155
5682,7,155,1156
5681,6,156,1157
5680,7,156,1157
5680,6,156,1158
5680,4,156,1160
5680,2,157,1161
5680,2,157,1161
5680,2,157,1161
5680,2,157,1161
5680,2,157,1161
5680,0,157,1163
