susceptible,infected,dead,recovered
292,8,0,0
283,13,1,3
271,22,1,6
259,26,3,12
251,25,7,17
238,32,8,22
229,34,13,24
217,34,18,31
205,38,19,38
196,34,22,48
189,29,24,58
183,26,28,63
178,21,29,72
172,22,32,74
163,22,33,82
159,21,34,86
155,19,35,91
151,17,36,96
145,17,36,102
138,17,39,106
134,16,41,109
133,12,42,113
133,11,42,114
132,10,42,116
131,8,43,118
130,5,45,120
129,5,45,121
128,6,45,121
128,4,45,123
127,5,45,123
127,4,46,123
127,4,46,123
127,2,47,124
127,2,47,124
127,2,47,124
127,2,47,124
127,1,48,124
127,0,48,125
