susceptible,infected,dead,recovered
6992,8,0,0
6987,10,2,1
6980,12,6,2
6969,20,8,3
6959,21,17,3
6950,24,23,3
6941,24,28,7
6929,28,33,10
6914,31,39,16
6902,33,44,21
6890,28,58,24
6887,18,66,29
6884,9,72,35
6880,10,74,36
6877,10,77,36
6876,9,79,36
6875,8,79,38
6874,7,81,38
6873,7,81,39
6871,5,85,39
6866,8,87,39
6861,11,89,39
6856,10,93,41
6854,10,94,42
6850,11,96,43
6844,14,98,44
6842,10,103,45
6839,10,105,46
6837,11,105,47
6829,15,108,48
6827,15,109,49
6822,14,114,50
6818,14,117,51
6813,12,120,55
6811,9,122,58
6809,6,126,59
6806,6,128,60
6806,2,131,61
6805,2,131,62
6805,0,133,62
