susceptible,infected,dead,recovered
593,7,0,0
587,11,1,1
581,11,4,4
579,10,6,5
576,11,8,5
573,11,9,7
567,14,12,7
560,17,15,8
555,14,20,11
548,15,22,15
545,13,25,17
537,17,28,18
529,22,30,19
520,21,35,24
513,20,39,28
504,25,42,29
494,28,46,32
484,25,51,40
472,28,54,46
459,28,62,51
446,34,64,56
434,33,73,60
425,30,81,64
417,29,86,68
400,35,91,74
389,37,95,79
380,31,102,87
367,30,110,93
356,29,116,99
347,27,122,104
337,27,125,111
328,24,129,119
317,25,132,126
309,21,134,136
302,21,137,140
295,20,142,143
287,23,145,145
281,16,153,150
278,15,157,150
272,15,158,155
269,11,162,158
264,11,164,161
261,10,167,162
255,13,168,164
251,12,170,167
250,9,173,168
249,7,174,170
247,6,174,173
244,6,175,175
240,8,176,176
237,10,176,177
236,8,177,179
234,9,177,180
231,9,177,183
229,9,178,184
227,9,178,186
226,7,180,187
225,7,180,188
221,10,181,188
218,10,182,190
215,10,185,190
213,10,186,191
212,9,187,192
212,6,188,194
212,6,188,194
211,5,189,195
211,3,190,196
211,3,190,196
209,3,191,197
208,3,192,197
206,4,193,197
205,5,193,197
204,5,193,198
203,4,194,199
202,3,195,200
200,3,196,201
199,2,197,202
198,3,197,202
197,2,198,203
197,2,198,203
197,2,198,203
196,1,200,203
195,1,201,203
195,1,201,203
194,2,201,203
193,1,203,203
192,2,203,203
190,2,204,204
189,2,205,204
188,3,205,204
187,2,206,205
186,3,206,205
186,2,207,205
186,2,207,205
185,3,207,205
183,3,209,205
182,4,209,205
181,4,209,206
179,2,212,207
179,2,212,207
179,1,213,207
179,1,213,207
179,1,213,207
179,0,214,207
