susceptible,infected,dead,recovered
1993,7,0,0
1984,15,1,0
1968,28,3,1
1952,35,10,3
1944,31,18,7
1933,29,29,9
1923,28,38,11
1912,33,42,13
1900,35,48,17
1884,39,58,19
1867,39,69,25
1860,35,76,29
1855,28,83,34
1851,25,87,37
1847,20,94,39
1846,12,102,40
1841,14,103,42
1840,11,106,43
1836,11,109,44
1834,11,111,44
1831,9,114,46
1826,10,117,47
1825,8,118,49
1824,7,120,49
1822,8,121,49
1818,10,121,51
1811,12,125,52
1803,11,130,56
1795,16,131,58
1787,20,134,59
1778,22,139,61
1770,28,141,61
1766,17,152,65
1760,22,153,65
1754,21,156,69
1749,19,158,74
1744,15,165,76
1741,14,168,77
1739,13,168,80
1735,13,169,83
1731,12,173,84
1727,10,174,89
1722,9,176,93
1716,14,177,93
1712,16,179,93
1708,16,181,95
1706,12,184,98
1703,11,186,100
1698,16,186,100
1687,24,189,100
1678,26,195,101
1672,22,201,105
1669,13,208,110
1664,16,210,110
1662,10,216,112
1658,8,221,113
1656,6,225,113
1655,6,226,113
1654,7,226,113
1653,6,228,113
1650,6,231,113
1644,9,234,113
1643,4,237,116
1642,4,238,116
1640,3,240,117
1640,2,241,117
1640,1,242,117
1640,1,242,117
1640,0,243,117
