susceptible,infected,dead,recovered
1993,7,0,0
1986,12,2,0
1969,28,3,0
1899,96,5,0
1741,247,11,1
1423,551,24,2
1004,930,59,7
599,1264,125,12
335,1459,185,21
197,1479,292,32
118,1444,392,46
78,1383,483,56
54,1298,583,65
37,1213,676,74
30,1129,759,82
28,1039,839,94
22,963,909,106
21,888,983,108
17,815,1059,109
17,748,1120,115
16,687,1178,119
16,630,1230,124
16,590,1265,129
16,552,1298,134
15,512,1336,137
15,480,1365,140
15,445,1400,140
15,417,1426,142
15,390,1450,145
15,361,1479,145
15,338,1501,146
15,317,1520,148
15,293,1540,152
15,269,1562,154
15,256,1573,156
15,230,1598,157
15,216,1610,159
15,197,1627,161
15,181,1642,162
15,169,1653,163
15,156,1665,164
15,148,1673,164
15,137,1684,164
15,123,1697,165
15,120,1700,165
15,108,1710,167
15,100,1718,167
15,95,1723,167
15,90,1728,167
15,88,1729,168
15,75,1741,169
15,72,1744,169
15,69,1747,169
15,63,1752,170
15,60,1755,170
15,55,1760,170
15,55,1760,170
15,48,1767,170
15,44,1770,171
15,40,1773,172
15,36,1777,172
15,33,1780,172
15,30,1783,172
15,30,1783,172
15,29,1783,173
15,27,1785,173
15,25,1787,173
15,24,1788,173
15,22,1790,173
15,20,1791,174
15,18,1793,174
15,17,1794,174
15,15,1795,175
15,15,1795,175
15,13,1797,175
15,11,1799,175
15,10,1800,175
15,10,1800,175
15,10,1800,175
15,10,1800,175
15,8,1802,175
15,8,1802,175
15,8,1802,175
15,7,1803,175
15,7,1803,175
15,7,1803,175
15,6,1804,175
15,6,1804,175
15,5,1805,175
15,4,1805,176
15,4,1805,176
15,4,1805,176
15,4,1805,176
15,3,1806,176
15,3,1806,176
15,2,1807,176
15,2,1807,176
15,2,1807,176
15,2,1807,176
15,2,1807,176
15,1,1808,176
15,1,1808,176
15,1,1808,176
15,1,1808,176
15,1,1808,176
15,0,1809,176
