susceptible,infected,dead,recovered
3994,6,0,0
3990,10,0,0
3981,19,0,0
3958,34,6,2
3915,66,12,7
3849,117,22,12
3742,187,49,22
3539,342,76,43
3209,580,137,74
2844,810,228,118
2455,965,385,195
2103,1048,558,291
1841,1014,754,391
1644,936,922,498
1486,838,1097,579
1350,752,1236,662
1266,630,1376,728
1201,542,1475,782
1151,441,1570,838
1115,359,1637,889
1085,295,1701,919
1070,232,1753,945
1055,191,1792,962
1045,146,1820,989
1034,115,1849,1002
1028,90,1868,1014
1022,62,1893,1023
1017,45,1907,1031
1012,33,1918,1037
1010,28,1922,1040
1010,23,1926,1041
1010,16,1932,1042
1008,12,1937,1043
1008,5,1943,1044
1008,3,1945,1044
1008,3,1945,1044
1008,2,1945,1045
1008,2,1945,1045
1007,3,1945,1045
1007,3,1945,1045
1007,3,1945,1045
1006,3,1945,1046
1006,1,1946,1047
1006,1,1946,1047
1005,2,1946,1047
1005,1,1946,1048
1005,1,1946,1048
1005,1,1946,1048
1005,1,1946,1048
1005,1,1946,1048
1004,2,1946,1048
1004,1,1946,1049
1004,0,1946,1050
