susceptible,infected,dead,recovered
3994,6,0,0
3986,13,0,1
3976,20,2,2
3965,28,3,4
3957,22,13,8
3945,27,18,10
3926,45,19,10
3903,55,31,11
3878,61,46,15
3843,76,62,19
3801,96,79,24
3749,117,104,30
3677,152,135,36
3609,173,174,44
3509,229,205,57
3402,270,254,74
3272,332,307,89
3111,404,374,111
2911,493,459,137
2723,535,580,162
2480,608,720,192
2264,631,874,231
2035,676,1026,263
1814,705,1177,304
1604,695,1353,348
1427,662,1526,385
1240,672,1671,417
1085,646,1811,458
941,597,1964,498
827,557,2090,526
731,494,2202,573
651,433,2318,598
578,379,2417,626
523,329,2502,646
486,264,2574,676
458,221,2634,687
444,155,2695,706
434,122,2723,721
425,92,2755,728
418,73,2777,732
412,61,2792,735
408,49,2804,739
404,37,2815,744
400,31,2823,746
398,22,2832,748
398,15,2838,749
395,14,2842,749
391,13,2845,751
390,12,2847,751
388,10,2850,752
388,7,2853,752
388,4,2856,752
388,3,2857,752
388,2,2857,753
388,1,2858,753
388,0,2859,753
