susceptible,infected,dead,recovered
292,8,0,0
283,16,1,0
266,32,2,0
242,51,6,1
204,84,9,3
157,119,16,8
108,143,35,14
72,155,49,24
44,157,68,31
27,156,80,37
19,143,95,43
17,120,110,53
15,100,122,63
12,92,130,66
11,75,139,75
11,57,152,80
11,50,158,81
10,44,164,82
10,35,168,87
9,26,174,91
9,20,178,93
9,20,178,93
9,17,181,93
9,13,184,94
9,9,187,95
9,8,188,95
9,7,189,95
9,7,189,95
9,7,189,95
9,4,191,96
9,3,192,96
9,3,192,96
9,3,192,96
9,3,192,96
9,2,193,96
9,1,194,96
9,1,194,96
9,1,194,96
9,1,194,96
9,0,194,97
