susceptible,infected,dead,recovered
1991,9,0,0
1980,17,0,3
1946,49,0,5
1838,141,0,21
1630,311,3,56
1377,483,7,133
1095,650,13,242
839,740,22,399
661,736,30,573
534,669,38,759
442,590,43,925
382,490,52,1076
351,398,59,1192
324,328,63,1285
305,271,70,1354
294,220,74,1412
283,171,77,1469
279,131,81,1509
274,103,82,1541
272,73,84,1571
269,59,85,1587
266,45,86,1603
266,36,86,1612
265,25,86,1624
263,20,86,1631
263,14,87,1636
262,12,87,1639
262,10,87,1641
262,9,87,1642
262,6,87,1645
262,5,87,1646
262,2,87,1649
262,2,87,1649
262,1,87,1650
262,1,87,1650
262,1,87,1650
262,1,87,1650
262,1,87,1650
262,1,87,1650
262,0,87,1651
