susceptible,infected,dead,recovered
997,3,0,0
996,4,0,0
993,6,1,0
989,10,1,0
985,12,2,1
983,10,3,4
979,13,4,4
976,14,4,6
974,13,5,8
968,16,6,10
956,23,7,14
948,28,8,16
937,34,12,17
920,44,17,19
903,48,22,27
877,64,29,30
863,65,36,36
845,69,41,45
821,77,48,54
798,80,60,62
774,88,67,71
750,100,73,77
725,108,83,84
695,110,96,99
663,117,111,109
640,111,127,122
604,129,135,132
571,132,147,150
541,133,163,163
521,134,174,171
506,131,182,181
474,144,191,191
442,144,211,203
426,132,221,221
409,122,235,234
385,114,248,253
369,103,264,264
355,95,273,277
346,84,283,287
339,71,293,297
332,66,297,305
325,65,300,310
320,52,308,320
316,50,309,325
311,49,314,326
309,42,319,330
308,34,319,339
307,28,324,341
305,22,329,344
305,19,332,344
301,17,335,347
301,15,335,349
298,15,337,350
298,15,337,350
296,12,340,352
295,9,342,354
294,10,342,354
294,9,342,355
293,9,343,355
293,6,345,356
291,6,345,358
291,5,345,359
291,4,345,360
291,4,345,360
291,4,345,360
291,4,345,360
291,4,345,360
291,4,345,360
291,4,345,360
291,3,346,360
291,3,346,360
291,3,346,360
291,2,347,360
291,1,347,361
291,0,348,361
