susceptible,infected,dead,recovered
9993,7,0,0
9986,12,1,1
9958,37,2,3
9915,67,7,11
9846,110,18,26
9705,208,40,47
9332,492,90,86
8644,971,198,187
7684,1524,406,386
6671,1898,726,705
5795,2003,1111,1091
5069,1923,1513,1495
4518,1672,1920,1890
4133,1341,2256,2270
3855,1059,2520,2566
3672,798,2737,2793
3548,585,2886,2981
3473,413,3011,3103
3431,267,3113,3189
3397,201,3158,3244
3381,139,3199,3281
3367,88,3223,3322
3358,66,3236,3340
3351,44,3247,3358
3347,32,3255,3366
3345,25,3263,3367
3343,17,3269,3371
3343,5,3277,3375
3343,3,3279,3375
3342,3,3279,3376
3341,3,3280,3376
3340,3,3280,3377
3340,3,3280,3377
3339,2,3282,3377
3339,1,3282,3378
3339,1,3282,3378
3339,1,3282,3378
3339,1,3282,3378
3339,1,3282,3378
3339,0,3282,3379
