susceptible,infected,dead,recovered
1996,4,0,0
1991,8,1,0
1985,11,3,1
1971,23,4,2
1956,35,7,2
1933,51,13,3
1900,74,22,4
1857,100,37,6
1790,143,61,6
1697,204,86,13
1554,297,128,21
1397,393,180,30
1208,494,257,41
1035,564,349,52
836,632,465,67
662,676,582,80
502,687,712,99
367,659,846,128
260,648,945,147
187,565,1085,163
146,464,1211,179
115,394,1291,200
89,352,1353,206
80,281,1425,214
70,240,1469,221
67,186,1517,230
65,146,1556,233
65,116,1585,234
63,95,1606,236
61,75,1623,241
61,60,1635,244
61,46,1646,247
61,41,1650,248
61,31,1659,249
61,24,1665,250
61,19,1670,250
61,16,1673,250
61,13,1676,250
61,10,1678,251
61,10,1678,251
61,9,1679,251
61,6,1681,252
61,5,1682,252
61,3,1684,252
61,2,1685,252
61,2,1685,252
61,2,1685,252
61,2,1685,252
61,2,1685,252
61,2,1685,252
61,2,1685,252
61,1,1686,252
61,1,1686,252
61,1,1686,252
61,1,1686,252
61,0,1687,252
