susceptible,infected,dead,recovered
6997,3,0,0
6996,3,1,0
6991,7,1,1
6956,42,1,1
6766,223,9,2
6207,722,56,15
5150,1601,179,70
3723,2642,442,193
2478,3205,880,437
1614,3265,1407,714
1121,2901,1947,1031
865,2422,2439,1274
726,1979,2820,1475
632,1586,3143,1639
583,1295,3373,1749
551,1008,3588,1853
518,797,3749,1936
508,592,3890,2010
499,448,3978,2075
492,338,4054,2116
487,255,4113,2145
486,196,4152,2166
485,129,4196,2190
485,96,4214,2205
485,68,4232,2215
484,54,4238,2224
484,36,4250,2230
484,23,4256,2237
484,20,4258,2238
484,13,4263,2240
484,11,4265,2240
484,8,4267,2241
484,6,4268,2242
484,5,4269,2242
484,4,4270,2242
484,3,4271,2242
484,1,4273,2242
484,0,4274,2242
