susceptible,infected,dead,recovered
6991,9,0,0
6984,15,0,1
6981,14,1,4
6971,22,2,5
6959,30,3,8
6942,41,3,14
6925,47,3,25
6895,68,5,32
6853,97,7,43
6795,136,10,59
6706,193,16,85
6602,248,25,125
6475,316,33,176
6282,435,40,243
6036,572,49,343
5742,719,73,466
5406,871,95,628
5023,1018,125,834
4621,1189,152,1038
4175,1327,183,1315
3741,1435,225,1599
3331,1491,268,1910
2958,1509,319,2214
2625,1473,367,2535
2332,1423,416,2829
2124,1255,465,3156
1956,1138,504,3402
1812,991,556,3641
1694,887,583,3836
1601,776,611,4012
1530,636,634,4200
1468,532,649,4351
1423,455,661,4461
1391,375,675,4559
1353,323,688,4636
1336,284,693,4687
1321,230,700,4749
1309,177,709,4805
1301,143,712,4844
1291,118,718,4873
1285,89,720,4906
1283,68,725,4924
1277,52,726,4945
1272,44,729,4955
1272,36,730,4962
1270,26,732,4972
1270,16,734,4980
1270,11,735,4984
1270,9,735,4986
1270,7,735,4988
1270,7,735,4988
1270,4,736,4990
1269,5,736,4990
1269,4,736,4991
1269,1,738,4992
1269,0,738,4993
