susceptible,infected,dead,recovered
6990,10,0,0
6977,16,3,4
6953,34,7,6
6916,56,16,12
6852,107,25,16
6745,179,43,33
6528,340,83,49
6147,604,149,100
5501,1040,280,179
4547,1651,483,319
3372,2285,791,552
2182,2689,1298,831
1331,2699,1813,1157
852,2277,2342,1529
650,1727,2810,1813
556,1260,3153,2031
491,872,3416,2221
460,614,3597,2329
446,438,3712,2404
444,305,3794,2457
434,214,3854,2498
432,143,3898,2527
428,90,3932,2550
427,71,3948,2554
427,51,3961,2561
427,34,3976,2563
427,21,3984,2568
427,14,3987,2572
427,9,3990,2574
427,3,3995,2575
427,2,3996,2575
427,2,3996,2575
427,2,3996,2575
427,1,3996,2576
427,0,3997,2576
