susceptible,infected,dead,recovered
6992,8,0,0
6983,17,0,0
6962,34,2,2
6933,62,3,2
6897,86,5,12
6846,128,8,18
6757,200,13,30
6631,303,23,43
6431,463,44,62
6144,681,67,108
5739,1003,102,156
5169,1453,144,234
4444,1975,207,374
3592,2566,299,543
2668,3122,436,774
1788,3609,571,1032
1034,3902,766,1298
538,3883,972,1607
275,3619,1151,1955
138,3268,1347,2247
69,2928,1498,2505
42,2555,1649,2754
27,2232,1783,2958
20,1942,1891,3147
17,1673,1999,3311
13,1474,2070,3443
12,1279,2144,3565
12,1121,2199,3668
12,976,2265,3747
12,859,2310,3819
12,730,2367,3891
12,642,2402,3944
12,544,2436,4008
12,478,2462,4048
12,408,2486,4094
12,365,2500,4123
12,327,2512,4149
12,297,2528,4163
12,263,2546,4179
12,226,2560,4202
12,198,2569,4221
12,169,2586,4233
12,142,2593,4253
12,121,2600,4267
12,112,2605,4271
12,97,2611,4280
12,85,2617,4286
12,74,2619,4295
12,67,2622,4299
12,63,2626,4299
12,60,2626,4302
12,51,2629,4308
12,42,2634,4312
12,38,2635,4315
12,30,2638,4320
12,27,2641,4320
12,25,2641,4322
12,22,2644,4322
12,21,2645,4322
12,15,2649,4324
12,14,2649,4325
12,13,2649,4326
12,10,2650,4328
12,8,2651,4329
12,7,2651,4330
12,6,2652,4330
12,5,2652,4331
12,4,2653,4331
12,4,2653,4331
12,3,2653,4332
12,2,2653,4333
12,2,2653,4333
12,2,2653,4333
12,2,2653,4333
12,2,2653,4333
12,2,2653,4333
12,2,2653,4333
12,1,2654,4333
12,1,2654,4333
12,1,2654,4333
12,0,2655,4333
