susceptible,infected,dead,recovered
1991,9,0,0
1990,8,2,0
1988,8,4,0
1987,7,6,0
1986,7,7,0
1982,10,8,0
1979,11,10,0
1977,12,11,0
1974,12,14,0
1971,11,18,0
1968,12,20,0
1965,11,24,0
1964,9,27,0
1960,11,29,0
1958,12,29,1
1957,12,30,1
1955,11,33,1
1953,10,35,2
1950,10,38,2
1948,10,40,2
1948,7,42,3
1947,7,43,3
1946,8,43,3
1946,6,45,3
1946,6,45,3
1945,7,45,3
1943,8,46,3
1942,7,48,3
1942,6,49,3
1942,6,49,3
1942,4,51,3
1942,2,52,4
1942,2,52,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1942,1,53,4
1941,2,53,4
1940,2,54,4
1940,2,54,4
1940,2,54,4
1939,3,54,4
1937,5,54,4
1935,7,54,4
1934,8,54,4
1932,10,54,4
1932,10,54,4
1930,11,55,4
1930,9,57,4
1928,9,58,5
1927,7,61,5
1927,7,61,5
1924,10,61,5
1922,9,64,5
1922,6,67,5
1921,4,70,5
1921,3,71,5
1921,2,72,5
1920,3,72,5
1920,3,72,5
1920,2,73,5
1918,3,74,5
1918,2,75,5
1918,2,75,5
1916,3,76,5
1916,3,76,5
1916,2,76,6
1915,3,76,6
1915,2,77,6
1915,2,77,6
1915,2,77,6
1914,2,78,6
1914,2,78,6
1913,3,78,6
1912,3,79,6
1911,4,79,6
1910,5,79,6
1910,3,81,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,2,82,6
1910,1,83,6
1910,1,83,6
1910,1,83,6
1910,1,83,6
1910,1,83,6
1910,0,84,6
