susceptible,infected,dead,recovered
6998,2,0,0
6998,2,0,0
6996,4,0,0
6994,6,0,0
6994,4,0,2
6992,6,0,2
6990,8,0,2
6990,7,1,2
6988,9,1,2
6982,15,1,2
6976,21,1,2
6972,25,1,2
6966,30,1,3
6953,41,2,4
6939,54,3,4
6922,66,3,9
6893,93,4,10
6864,117,7,12
6831,139,10,20
6783,183,13,21
6733,226,16,25
6667,276,27,30
6578,350,34,38
6473,433,49,45
6354,530,64,52
6205,646,80,69
6038,777,93,92
5824,952,114,110
5566,1170,130,134
5291,1386,162,161
4951,1655,196,198
4587,1926,248,239
4199,2212,290,299
3802,2500,348,350
3373,2794,419,414
2937,3089,502,472
2516,3365,581,538
2101,3627,660,612
1707,3833,760,700
1368,4025,827,780
1089,4108,932,871
826,4191,1023,960
649,4164,1132,1055
491,4101,1232,1176
379,4017,1319,1285
302,3910,1410,1378
236,3781,1505,1478
201,3637,1591,1571
155,3527,1658,1660
130,3388,1733,1749
110,3227,1825,1838
96,3102,1897,1905
81,2968,1971,1980
68,2838,2044,2050
54,2718,2108,2120
51,2585,2184,2180
49,2465,2240,2246
46,2357,2295,2302
42,2251,2353,2354
39,2152,2410,2399
37,2038,2471,2454
33,1933,2529,2505
32,1831,2587,2550
30,1752,2629,2589
27,1668,2672,2633
26,1578,2720,2676
25,1514,2749,2712
24,1449,2787,2740
23,1382,2827,2768
20,1312,2869,2799
20,1249,2906,2825
20,1181,2937,2862
18,1124,2966,2892
18,1067,2999,2916
18,1015,3027,2940
18,975,3047,2960
18,935,3069,2978
18,892,3092,2998
18,850,3113,3019
18,803,3138,3041
18,768,3157,3057
18,737,3174,3071
18,706,3190,3086
18,675,3207,3100
18,644,3221,3117
18,610,3242,3130
18,579,3255,3148
18,547,3271,3164
18,527,3282,3173
18,494,3300,3188
18,469,3313,3200
18,450,3326,3206
18,426,3341,3215
18,410,3348,3224
18,389,3360,3233
18,372,3367,3243
18,356,3376,3250
18,334,3388,3260
18,319,3398,3265
18,299,3408,3275
18,287,3414,3281
18,274,3419,3289
18,260,3425,3297
18,248,3434,3300
18,242,3439,3301
18,228,3446,3308
18,220,3450,3312
18,213,3452,3317
18,203,3459,3320
18,194,3465,3323
18,180,3468,3334
18,171,3476,3335
18,165,3481,3336
18,160,3483,3339
18,153,3484,3345
18,140,3491,3351
18,132,3497,3353
18,128,3499,3355
18,126,3499,3357
18,118,3503,3361
18,115,3503,3364
18,111,3503,3368
18,107,3503,3372
18,104,3506,3372
18,103,3506,3373
18,102,3506,3374
18,100,3508,3374
18,93,3513,3376
18,91,3514,3377
18,89,3515,3378
18,87,3516,3379
18,83,3517,3382
18,81,3517,3384
18,78,3519,3385
18,74,3521,3387
18,69,3525,3388
18,68,3526,3388
18,63,3530,3389
18,62,3530,3390
18,61,3530,3391
18,60,3530,3392
18,56,3530,3396
18,54,3531,3397
18,50,3532,3400
18,45,3534,3403
18,42,3536,3404
18,42,3536,3404
18,40,3537,3405
18,38,3537,3407
18,36,3538,3408
18,35,3539,3408
18,33,3539,3410
18,29,3541,3412
18,28,3541,3413
18,27,3541,3414
18,27,3541,3414
18,26,3541,3415
18,25,3542,3415
18,25,3542,3415
18,23,3542,3417
18,21,3543,3418
18,20,3544,3418
18,18,3546,3418
18,18,3546,3418
18,18,3546,3418
18,18,3546,3418
18,18,3546,3418
18,16,3547,3419
18,14,3548,3420
18,12,3549,3421
18,12,3549,3421
18,11,3549,3422
18,10,3550,3422
18,7,3550,3425
18,7,3550,3425
18,7,3550,3425
18,6,3550,3426
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,5,3550,3427
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,4,3550,3428
18,3,3551,3428
18,3,3551,3428
18,3,3551,3428
18,2,3551,3429
18,2,3551,3429
18,2,3551,3429
18,2,3551,3429
18,2,3551,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,1,3552,3429
18,0,3552,3430
