susceptible,infected,dead,recovered
9998,2,0,0
9997,2,0,1
9995,2,1,2
9992,4,2,2
9990,4,2,4
9986,7,3,4
9983,7,4,6
9976,12,4,8
9962,22,5,11
9944,29,11,16
9924,39,12,25
9900,46,21,33
9868,60,31,41
9831,71,38,60
9782,90,54,74
9736,100,66,98
9675,121,81,123
9610,142,99,149
9527,168,127,178
9432,199,156,213
9314,230,204,252
9183,267,241,309
9025,328,281,366
8849,382,332,437
8647,433,394,526
8422,499,468,611
8160,547,558,735
7899,602,656,843
7631,607,767,995
7331,652,876,1141
7052,641,1004,1303
6814,613,1123,1450
6591,583,1225,1601
6356,585,1337,1722
6128,589,1436,1847
5924,559,1552,1965
5725,531,1655,2089
5535,513,1753,2199
5368,466,1851,2315
5237,418,1930,2415
5109,375,2005,2511
5003,336,2069,2592
4903,302,2124,2671
4818,277,2171,2734
4729,256,2214,2801
4666,224,2258,2852
4591,198,2306,2905
4548,158,2343,2951
4503,133,2378,2986
4476,105,2400,3019
4440,101,2420,3039
4413,90,2441,3056
4399,66,2457,3078
4388,48,2470,3094
4378,40,2478,3104
4368,31,2486,3115
4361,32,2490,3117
4356,25,2494,3125
4352,14,2504,3130
4348,11,2506,3135
4345,9,2509,3137
4344,6,2510,3140
4343,3,2511,3143
4342,3,2511,3144
4342,2,2511,3145
4341,3,2511,3145
4339,4,2512,3145
4338,4,2513,3145
4338,2,2514,3146
4337,2,2514,3147
4337,2,2514,3147
4335,3,2514,3148
4334,2,2515,3149
4333,3,2515,3149
4332,3,2515,3150
4332,2,2515,3151
4332,1,2516,3151
4331,1,2516,3152
4331,0,2516,3153
