susceptible,infected,dead,recovered
3994,6,0,0
3992,7,0,1
3990,9,0,1
3988,9,0,3
3987,9,0,4
3985,11,0,4
3977,17,0,6
3966,26,0,8
3947,40,1,12
3925,54,1,20
3885,83,2,30
3815,140,3,42
3722,207,4,67
3586,316,5,93
3429,420,7,144
3231,551,11,207
3010,697,19,274
2769,833,28,370
2530,938,34,498
2335,1007,40,618
2121,1042,53,784
1960,1025,69,946
1824,1005,79,1092
1698,973,90,1239
1595,922,99,1384
1500,866,110,1524
1432,791,118,1659
1372,734,126,1768
1310,675,133,1882
1251,626,142,1981
1205,574,147,2074
1177,508,150,2165
1149,463,154,2234
1120,410,158,2312
1095,366,159,2380
1079,317,162,2442
1071,271,166,2492
1060,245,167,2528
1052,224,168,2556
1046,196,169,2589
1039,175,170,2616
1033,160,173,2634
1027,144,173,2656
1024,127,174,2675
1018,114,176,2692
1017,100,177,2706
1014,83,177,2726
1009,73,178,2740
1007,61,179,2753
1003,55,179,2763
1002,45,180,2773
999,41,180,2780
999,35,180,2786
998,33,181,2788
997,27,181,2795
997,23,183,2797
996,22,183,2799
996,18,183,2803
996,14,183,2807
996,12,183,2809
996,9,183,2812
996,9,183,2812
995,9,183,2813
995,8,183,2814
995,8,183,2814
995,8,183,2814
995,6,184,2815
995,4,185,2816
995,3,185,2817
995,2,185,2818
995,2,185,2818
995,1,186,2818
995,1,186,2818
995,1,186,2818
995,1,186,2818
995,1,186,2818
995,0,186,2819
