susceptible,infected,dead,recovered
9991,9,0,0
9987,9,3,1
9963,28,4,5
9896,85,8,11
9768,173,25,34
9500,365,67,68
9072,640,129,159
8465,960,270,305
7784,1204,473,539
7117,1343,729,811
6521,1364,1010,1105
6019,1259,1301,1421
5622,1096,1575,1707
5346,889,1803,1962
5146,696,1991,2167
5005,528,2150,2317
4910,386,2251,2453
4823,292,2342,2543
4763,218,2414,2605
4730,137,2463,2670
4709,95,2495,2701
4698,62,2516,2724
4686,50,2528,2736
4679,39,2538,2744
4676,23,2548,2753
4674,12,2555,2759
4672,8,2557,2763
4671,8,2557,2764
4670,7,2558,2765
4669,4,2560,2767
4665,6,2560,2769
4663,5,2560,2772
4661,4,2562,2773
4660,3,2563,2774
4660,1,2564,2775
4660,1,2564,2775
4660,0,2564,2776
