susceptible,infected,dead,recovered
598,2,0,0
595,5,0,0
590,10,0,0
578,19,0,3
551,42,2,5
512,66,6,16
446,114,9,31
358,169,20,53
248,249,26,77
133,302,38,127
73,308,55,164
51,278,69,202
36,250,74,240
30,212,88,270
26,175,97,302
24,140,104,332
24,112,110,354
23,91,113,373
23,62,120,395
23,53,122,402
22,43,126,409
22,40,127,411
22,35,129,414
22,32,131,415
21,28,131,420
21,19,134,426
21,16,135,428
21,12,137,430
21,11,137,431
21,7,138,434
21,5,139,435
21,5,139,435
21,5,139,435
21,5,139,435
21,2,139,438
21,2,139,438
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,1,139,439
21,0,139,440
