susceptible,infected,dead,recovered
3993,7,0,0
3993,7,0,0
3992,7,1,0
3991,7,1,1
3990,6,2,2
3989,7,2,2
3986,10,2,2
3983,12,2,3
3978,16,3,3
3976,17,4,3
3974,19,4,3
3973,20,4,3
3971,22,4,3
3968,24,5,3
3963,26,6,5
3959,29,6,6
3952,34,8,6
3949,29,15,7
3946,28,18,8
3942,31,18,9
3940,32,18,10
3934,38,18,10
3931,38,21,10
3927,42,21,10
3918,50,22,10
3909,54,27,10
3902,56,30,12
3898,58,31,13
3886,69,32,13
3874,80,33,13
3861,89,36,14
3840,104,41,15
3822,116,45,17
3801,131,49,19
3791,131,57,21
3775,139,64,22
3753,153,69,25
3731,167,75,27
3710,182,79,29
3679,206,85,30
3647,227,92,34
3618,246,97,39
3575,276,105,44
3527,310,118,45
3474,352,128,46
3427,383,141,49
3363,432,152,53
3293,475,176,56
3225,527,187,61
3140,580,210,70
3046,643,234,77
2947,719,250,84
2857,780,275,88
2771,833,304,92
2677,896,330,97
2559,969,367,105
2432,1057,401,110
2293,1143,444,120
2163,1222,486,129
2014,1313,532,141
1887,1376,584,153
1765,1421,644,170
1631,1508,672,189
1503,1566,730,201
1378,1584,814,224
1264,1620,874,242
1132,1677,936,255
1028,1698,998,276
926,1726,1060,288
848,1707,1138,307
769,1711,1201,319
686,1725,1256,333
618,1719,1317,346
554,1713,1370,363
493,1690,1431,386
446,1654,1497,403
412,1601,1571,416
365,1579,1627,429
329,1540,1686,445
302,1491,1749,458
280,1442,1805,473
247,1395,1867,491
220,1355,1920,505
202,1301,1978,519
186,1265,2021,528
171,1218,2070,541
160,1176,2114,550
146,1144,2149,561
133,1102,2191,574
120,1064,2228,588
115,1020,2265,600
113,976,2304,607
106,942,2341,611
101,898,2380,621
97,855,2415,633
92,809,2452,647
84,782,2482,652
79,757,2507,657
78,714,2539,669
78,686,2557,679
74,659,2584,683
72,634,2605,689
71,608,2628,693
70,566,2658,706
70,541,2677,712
68,513,2701,718
68,490,2715,727
66,471,2731,732
64,455,2746,735
64,437,2762,737
63,414,2781,742
63,396,2794,747
61,381,2807,751
61,366,2817,756
61,355,2823,761
61,336,2839,764
61,328,2845,766
61,310,2858,771
60,298,2870,772
60,281,2885,774
60,258,2899,783
60,248,2909,783
60,231,2922,787
60,222,2929,789
60,210,2940,790
60,198,2948,794
59,193,2953,795
59,181,2963,797
58,166,2978,798
58,157,2982,803
58,154,2984,804
57,152,2986,805
57,147,2991,805
57,138,2997,808
57,132,3002,809
57,128,3006,809
57,115,3016,812
56,110,3022,812
56,105,3027,812
56,98,3033,813
56,95,3036,813
55,89,3040,816
55,87,3040,818
55,84,3042,819
54,77,3047,822
54,74,3049,823
54,71,3052,823
54,67,3055,824
54,65,3057,824
54,63,3059,824
54,62,3060,824
54,58,3062,826
54,55,3065,826
54,54,3066,826
54,52,3068,826
54,49,3071,826
54,46,3074,826
54,44,3076,826
54,43,3076,827
54,43,3076,827
54,40,3079,827
54,40,3079,827
54,40,3079,827
54,38,3081,827
54,37,3082,827
54,34,3083,829
54,33,3084,829
54,33,3084,829
54,33,3084,829
54,31,3086,829
54,31,3086,829
54,31,3086,829
54,30,3087,829
54,29,3088,829
54,27,3090,829
54,26,3090,830
54,25,3090,831
54,25,3090,831
54,24,3090,832
54,21,3092,833
54,19,3094,833
54,18,3095,833
54,17,3096,833
54,17,3096,833
54,16,3097,833
54,15,3098,833
54,15,3098,833
54,15,3098,833
54,14,3098,834
54,14,3098,834
54,14,3098,834
54,13,3099,834
54,13,3099,834
54,13,3099,834
54,10,3101,835
54,9,3102,835
54,9,3102,835
54,8,3103,835
54,7,3104,835
54,6,3105,835
54,6,3105,835
54,6,3105,835
54,5,3106,835
54,5,3106,835
54,5,3106,835
54,5,3106,835
54,5,3106,835
54,4,3107,835
54,4,3107,835
54,4,3107,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,3,3108,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,2,3109,835
54,1,3109,836
54,0,3110,836
