susceptible,infected,dead,recovered
1995,5,0,0
1991,8,1,0
1988,10,2,0
1983,14,3,0
1975,19,5,1
1962,30,7,1
1936,54,9,1
1894,85,19,2
1828,136,34,2
1753,180,62,5
1626,280,87,7
1439,422,129,10
1228,557,198,17
986,698,295,21
743,837,390,30
559,868,521,52
411,866,654,69
297,837,779,87
234,748,915,103
196,680,1011,113
170,595,1110,125
154,530,1181,135
139,436,1271,154
124,388,1328,160
119,331,1383,167
114,286,1427,173
110,238,1471,181
108,200,1505,187
104,182,1524,190
104,157,1545,194
102,130,1573,195
101,111,1588,200
100,93,1604,203
99,74,1622,205
98,62,1633,207
97,57,1639,207
97,50,1644,209
97,40,1653,210
97,32,1661,210
97,25,1668,210
95,22,1673,210
95,18,1677,210
95,13,1682,210
95,11,1684,210
95,9,1686,210
95,7,1688,210
95,4,1690,211
95,4,1690,211
95,4,1690,211
95,3,1691,211
95,3,1691,211
95,3,1691,211
95,3,1691,211
95,2,1692,211
95,2,1692,211
95,2,1692,211
95,2,1692,211
95,2,1692,211
95,1,1693,211
95,1,1693,211
95,1,1693,211
95,0,1694,211
