susceptible,infected,dead,recovered
1995,5,0,0
1992,6,2,0
1987,9,3,1
1973,20,5,2
1938,47,12,3
1865,102,22,11
1773,159,47,21
1684,180,89,47
1600,194,137,69
1518,200,186,96
1446,189,228,137
1373,182,269,176
1320,154,313,213
1266,144,355,235
1222,127,390,261
1186,107,419,288
1159,102,439,300
1132,95,465,308
1114,78,481,327
1108,54,501,337
1104,38,514,344
1098,23,525,354
1094,17,527,362
1093,8,534,365
1092,6,536,366
1088,10,536,366
1087,7,538,368
1085,7,539,369
1085,2,542,371
1084,2,542,372
1084,0,542,374
