susceptible,infected,dead,recovered
1991,9,0,0
1986,13,0,1
1984,14,0,2
1982,14,1,3
1982,12,1,5
1980,12,1,7
1973,17,1,9
1972,15,1,12
1971,14,1,14
1967,15,1,17
1966,13,1,20
1962,16,1,21
1961,13,2,24
1956,16,2,26
1955,13,2,30
1954,11,2,33
1951,11,2,36
1950,9,2,39
1948,10,2,40
1947,9,2,42
1946,6,2,46
1943,8,2,47
1943,7,2,48
1941,7,2,50
1940,6,3,51
1940,5,4,51
1939,5,4,52
1936,7,5,52
1936,5,5,54
1936,5,5,54
1934,7,5,54
1933,8,5,54
1932,7,6,55
1931,7,7,55
1928,9,7,56
1925,9,7,59
1921,10,7,62
1920,11,7,62
1919,8,7,66
1915,12,7,66
1915,12,7,66
1914,10,7,69
1913,9,8,70
1912,10,8,70
1910,10,9,71
1908,9,10,73
1908,6,10,76
1905,8,10,77
1903,9,10,78
1902,8,11,79
1898,11,11,80
1895,13,11,81
1894,10,11,85
1893,10,11,86
1891,9,11,89
1890,9,11,90
1890,8,11,91
1888,9,11,92
1884,11,11,94
1880,13,11,96
1877,13,12,98
1874,12,12,102
1870,13,12,105
1867,12,12,109
1864,14,12,110
1861,13,13,113
1859,10,13,118
1857,10,13,120
1853,12,13,122
1851,10,13,126
1851,9,13,127
1851,7,13,129
1850,5,14,131
1850,4,15,131
1850,4,15,131
1850,3,15,132
1850,3,15,132
1849,3,15,133
1849,2,15,134
1849,2,15,134
1847,3,15,135
1847,3,15,135
1847,3,15,135
1846,2,15,137
1846,1,15,138
1845,1,15,139
1845,1,15,139
1845,1,15,139
1844,2,15,139
1844,2,15,139
1844,2,15,139
1843,3,15,139
1843,2,15,140
1843,2,15,140
1843,1,15,141
1841,3,15,141
1841,2,15,142
1841,1,15,143
1841,0,15,144
