susceptible,infected,dead,recovered
296,4,0,0
292,8,0,0
290,6,4,0
283,11,6,0
278,10,11,1
270,15,14,1
260,21,17,2
245,30,20,5
225,42,25,8
208,44,31,17
193,44,44,19
181,42,55,22
168,39,65,28
158,34,77,31
142,35,88,35
133,35,94,38
124,30,104,42
116,32,109,43
103,34,114,49
92,35,122,51
82,34,129,55
70,34,136,60
63,35,139,63
55,31,149,65
45,25,161,69
41,26,163,70
37,24,164,75
30,25,169,76
26,22,172,80
24,15,179,82
23,11,181,85
23,8,183,86
23,3,185,89
23,3,185,89
23,1,187,89
23,0,187,90
