susceptible,infected,dead,recovered
992,8,0,0
992,8,0,0
992,8,0,0
992,7,1,0
992,6,2,0
992,3,3,2
992,3,3,2
992,2,4,2
992,2,4,2
992,1,5,2
992,1,5,2
992,1,5,2
992,1,5,2
992,1,5,2
992,1,5,2
992,1,5,2
991,2,5,2
991,2,5,2
991,2,5,2
991,2,5,2
991,2,5,2
990,3,5,2
990,2,6,2
990,1,7,2
989,2,7,2
989,1,8,2
989,1,8,2
989,1,8,2
989,1,8,2
989,1,8,2
989,1,8,2
987,3,8,2
987,3,8,2
987,3,8,2
987,3,8,2
987,2,9,2
987,2,9,2
987,2,9,2
986,3,9,2
986,3,9,2
984,4,10,2
982,6,10,2
982,5,10,3
980,7,10,3
980,6,11,3
979,7,11,3
979,6,12,3
978,7,12,3
974,11,12,3
972,13,12,3
969,15,13,3
964,19,14,3
961,22,14,3
957,25,15,3
952,28,17,3
949,31,17,3
942,37,18,3
940,35,20,5
933,42,20,5
925,47,21,7
922,49,22,7
915,50,28,7
910,50,32,8
902,56,34,8
896,58,38,8
891,58,42,9
883,66,42,9
874,69,48,9
862,76,52,10
849,87,54,10
836,93,58,13
822,101,63,14
811,110,65,14
795,118,73,14
790,116,80,14
775,126,85,14
761,133,92,14
747,141,96,16
738,143,102,17
729,146,106,19
718,148,115,19
706,149,125,20
693,154,133,20
680,156,142,22
670,160,148,22
659,160,157,24
649,157,167,27
638,155,178,29
629,157,183,31
618,157,192,33
612,153,200,35
606,150,207,37
603,147,212,38
595,143,222,40
584,148,226,42
573,148,235,44
563,148,243,46
551,151,250,48
541,154,256,49
530,155,263,52
523,153,271,53
518,152,274,56
513,146,283,58
502,146,293,59
497,145,296,62
492,138,308,62
490,136,312,62
486,137,315,62
483,131,323,63
472,131,334,63
469,124,343,64
463,124,349,64
458,124,354,64
454,116,365,65
451,111,372,66
448,103,383,66
442,101,389,68
441,101,390,68
439,96,397,68
430,101,401,68
428,101,401,70
424,98,407,71
423,95,411,71
420,94,414,72
420,94,414,72
419,89,418,74
415,86,424,75
413,85,426,76
412,82,430,76
411,75,436,78
409,74,439,78
408,69,445,78
406,64,450,80
405,61,454,80
404,58,457,81
403,57,459,81
403,56,460,81
401,55,463,81
401,52,465,82
400,51,467,82
400,48,470,82
400,46,471,83
400,44,472,84
398,43,475,84
397,42,477,84
397,42,477,84
397,42,477,84
397,39,480,84
396,37,482,85
395,32,488,85
395,30,489,86
395,29,490,86
393,26,495,86
393,25,495,87
393,23,497,87
393,23,497,87
392,24,497,87
392,23,498,87
392,23,498,87
391,21,500,88
390,21,501,88
390,21,501,88
389,22,501,88
388,22,502,88
388,19,504,89
388,18,505,89
388,17,506,89
388,16,507,89
388,13,510,89
388,11,511,90
388,10,512,90
388,10,512,90
388,8,514,90
388,8,514,90
388,8,514,90
388,8,514,90
388,8,514,90
388,8,514,90
388,8,514,90
387,8,515,90
387,8,515,90
386,9,515,90
386,8,516,90
386,7,516,91
386,5,518,91
386,4,519,91
386,3,520,91
386,3,520,91
386,3,520,91
386,3,520,91
386,3,520,91
386,3,520,91
386,3,520,91
386,3,520,91
386,2,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,3,521,91
385,2,522,91
385,2,522,91
385,2,522,91
385,2,522,91
384,3,522,91
384,3,522,91
384,3,522,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
384,2,523,91
383,3,523,91
383,3,523,91
382,4,523,91
382,4,523,91
382,4,523,91
382,4,523,91
382,3,524,91
382,3,524,91
382,3,524,91
382,3,524,91
382,3,524,91
382,3,524,91
382,3,524,91
382,3,524,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,2,525,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,1,526,91
382,0,527,91
