susceptible,infected,dead,recovered
3992,8,0,0
3986,12,0,2
3975,20,0,5
3947,40,0,13
3856,121,0,23
3738,209,3,50
3530,368,6,96
3224,592,12,172
2894,780,24,302
2538,940,44,478
2224,1022,67,687
1928,1106,91,875
1691,1070,126,1113
1508,1011,146,1335
1378,914,173,1535
1279,808,195,1718
1186,719,214,1881
1119,613,233,2035
1081,499,246,2174
1044,405,262,2289
1029,334,270,2367
1009,284,277,2430
994,238,280,2488
982,199,284,2535
968,164,290,2578
960,132,293,2615
955,114,295,2636
952,94,297,2657
949,81,298,2672
949,60,301,2690
949,50,302,2699
948,38,303,2711
948,33,303,2716
947,27,303,2723
945,22,304,2729
944,17,305,2734
943,16,306,2735
943,12,308,2737
943,8,309,2740
942,7,309,2742
941,5,309,2745
941,4,310,2745
941,4,310,2745
940,5,310,2745
940,3,311,2746
939,4,311,2746
939,1,311,2749
939,1,311,2749
939,0,311,2750
