susceptible,infected,dead,recovered
992,8,0,0
990,6,1,3
982,8,5,5
975,9,9,7
974,6,12,8
973,6,12,9
971,8,12,9
969,9,12,10
967,9,14,10
965,10,14,11
962,8,18,12
957,11,18,14
954,10,18,18
945,16,18,21
944,17,18,21
936,22,18,24
928,22,23,27
916,25,27,32
897,31,35,37
872,45,41,42
847,54,51,48
826,52,56,66
808,45,68,79
797,40,74,89
776,45,80,99
747,53,91,109
724,58,97,121
705,47,106,142
683,56,110,151
665,55,119,161
654,40,130,176
650,22,141,187
647,16,144,193
644,13,147,196
639,10,150,201
634,14,150,202
632,12,152,204
631,8,155,206
629,10,155,206
628,7,159,206
626,5,161,208
626,3,161,210
625,2,161,212
624,3,161,212
624,3,161,212
624,1,162,213
624,0,162,214
