susceptible,infected,dead,recovered
1993,7,0,0
1990,9,0,1
1982,12,1,5
1978,11,3,8
1968,17,3,12
1958,17,7,18
1952,14,10,24
1949,12,11,28
1946,10,11,33
1943,10,12,35
1939,12,13,36
1931,14,15,40
1926,15,16,43
1920,18,16,46
1916,19,16,49
1906,26,18,50
1897,21,23,59
1892,17,26,65
1887,14,27,72
1885,13,28,74
1884,10,29,77
1881,10,30,79
1875,12,31,82
1873,9,31,87
1870,10,32,88
1866,13,32,89
1862,15,33,90
1857,17,34,92
1852,16,37,95
1847,15,38,100
1841,19,39,101
1833,22,40,105
1826,23,41,110
1817,26,43,114
1812,22,45,121
1801,27,46,126
1791,28,49,132
1786,27,50,137
1779,23,52,146
1773,23,52,152
1765,24,54,157
1760,23,55,162
1754,21,59,166
1751,16,60,173
1750,14,60,176
1746,17,61,176
1741,11,63,185
1737,11,63,189
1733,13,64,190
1722,18,68,192
1713,23,68,196
1707,23,71,199
1699,27,72,202
1694,22,75,209
1688,19,78,215
1684,15,80,221
1679,16,82,223
1671,18,82,229
1667,21,83,229
1662,17,86,235
1658,12,88,242
1655,10,88,247
1651,11,88,250
1648,10,88,254
1647,9,90,254
1645,7,92,256
1642,7,92,259
1640,6,94,260
1638,6,95,261
1635,8,95,262
1633,8,96,263
1629,10,96,265
1626,8,97,269
1624,9,97,270
1624,5,99,272
1623,3,99,275
1622,2,100,276
1622,2,100,276
1620,3,100,277
1619,4,100,277
1616,5,101,278
1614,6,101,279
1612,7,101,280
1609,8,101,282
1607,7,102,284
1604,8,102,286
1602,8,102,288
1598,7,103,292
1595,10,103,292
1594,8,103,295
1591,9,103,297
1590,6,104,300
1590,3,107,300
1590,3,107,300
1590,1,108,301
1590,1,108,301
1590,0,109,301
