susceptible,infected,dead,recovered
1990,10,0,0
1983,14,3,0
1976,19,4,1
1964,26,8,2
1944,37,13,6
1920,50,18,12
1903,51,26,20
1882,55,35,28
1850,69,42,39
1837,60,56,47
1826,55,64,55
1814,49,75,62
1802,45,82,71
1792,37,92,79
1778,37,96,89
1772,31,102,95
1761,35,106,98
1745,40,112,103
1733,38,121,108
1723,36,124,117
1716,32,132,120
1710,30,137,123
1705,25,143,127
1699,26,147,128
1689,27,152,132
1683,31,152,134
1677,28,157,138
1670,24,163,143
1664,21,166,149
1652,26,170,152
1646,23,174,157
1639,26,174,161
1632,26,175,167
1629,21,180,170
1627,20,181,172
1625,18,181,176
1623,15,185,177
1622,10,189,179
1620,7,192,181
1619,5,194,182
1618,5,194,183
1618,5,194,183
1617,4,195,184
1616,4,195,185
1613,5,195,187
1613,5,195,187
1610,7,196,187
1603,13,197,187
1599,14,199,188
1593,14,203,190
1590,13,204,193
1588,11,205,196
1585,12,205,198
1580,14,207,199
1571,18,209,202
1563,20,210,207
1554,24,213,209
1548,20,217,215
1543,20,219,218
1539,17,224,220
1534,13,228,225
1529,13,232,226
1524,16,232,228
1519,16,236,229
1514,17,237,232
1511,12,238,239
1509,8,241,242
1509,5,242,244
1508,5,243,244
1506,6,243,245
1503,7,244,246
1501,5,246,248
1498,8,246,248
1494,8,248,250
1491,9,249,251
1491,6,250,253
1491,5,250,254
1491,4,250,255
1490,5,250,255
1488,6,251,255
1487,7,251,255
1486,3,255,256
1486,2,256,256
1485,3,256,256
1485,2,257,256
1485,1,257,257
1485,1,257,257
1485,0,258,257
