susceptible,infected,dead,recovered
596,4,0,0
596,2,0,2
593,4,0,3
590,6,0,4
590,4,1,5
586,7,1,6
575,18,1,6
570,20,1,9
561,26,2,11
551,29,3,17
532,38,4,26
521,40,6,33
497,54,7,42
467,66,13,54
430,89,18,63
378,118,21,83
320,148,25,107
268,165,27,140
204,185,33,178
148,182,49,221
101,186,61,252
67,166,70,297
48,143,78,331
29,134,81,356
21,106,82,391
18,80,86,416
15,61,90,434
13,45,96,446
11,42,96,451
11,32,98,459
11,20,100,469
11,16,100,473
11,14,100,475
11,13,100,476
11,10,100,479
11,5,101,483
11,5,101,483
11,2,103,484
11,1,103,485
11,0,103,486
