susceptible,infected,dead,recovered
6992,8,0,0
6983,14,2,1
6910,83,3,4
6733,243,6,18
6156,762,19,63
4821,1924,72,183
3090,3218,203,489
1678,3872,430,1020
894,3717,720,1669
574,3160,1006,2260
417,2574,1256,2753
328,2069,1442,3161
285,1619,1587,3509
263,1264,1707,3766
250,963,1817,3970
242,740,1888,4130
236,556,1951,4257
233,432,1983,4352
231,326,2017,4426
229,264,2041,4466
229,210,2058,4503
229,158,2073,4540
229,119,2083,4569
228,93,2094,4585
228,73,2101,4598
228,59,2107,4606
228,40,2114,4618
228,28,2117,4627
228,25,2118,4629
228,18,2120,4634
228,12,2122,4638
228,7,2125,4640
228,3,2128,4641
228,3,2128,4641
228,2,2128,4642
228,2,2128,4642
228,2,2128,4642
228,2,2128,4642
228,0,2128,4644
