susceptible,infected,dead,recovered
994,6,0,0
987,12,1,0
974,22,2,2
953,40,5,2
914,71,11,4
855,109,27,9
764,178,44,14
645,262,68,25
501,352,116,31
339,444,172,45
220,469,246,65
140,465,317,78
102,398,401,99
82,334,467,117
65,289,517,129
58,229,573,140
54,187,608,151
52,152,637,159
47,117,669,167
46,98,685,171
46,73,704,177
45,61,714,180
44,51,723,182
44,42,731,183
44,30,741,185
44,24,744,188
43,20,748,189
43,15,753,189
42,14,755,189
42,12,756,190
42,11,757,190
42,9,758,191
42,8,759,191
42,6,761,191
42,4,763,191
42,4,763,191
42,3,764,191
42,3,764,191
42,2,765,191
42,2,765,191
42,1,765,192
42,1,765,192
42,1,765,192
42,1,765,192
42,0,765,193
