susceptible,infected,dead,recovered
6991,9,0,0
6979,19,2,0
6963,26,7,4
6943,35,12,10
6922,48,13,17
6878,66,25,31
6805,106,39,50
6720,131,60,89
6604,178,94,124
6462,242,134,162
6281,309,186,224
6044,409,253,294
5734,529,352,385
5350,671,483,496
4896,827,645,632
4420,904,845,831
3927,964,1037,1072
3493,961,1249,1297
3117,894,1470,1519
2832,744,1690,1734
2594,626,1864,1916
2417,508,2013,2062
2281,405,2139,2175
2184,333,2232,2251
2105,250,2313,2332
2057,186,2368,2389
2027,133,2416,2424
2000,107,2446,2447
1988,69,2477,2466
1976,38,2497,2489
1967,33,2503,2497
1961,22,2506,2511
1956,17,2510,2517
1950,16,2514,2520
1947,11,2517,2525
1945,8,2520,2527
1944,4,2522,2530
1943,5,2522,2530
1942,2,2524,2532
1942,0,2525,2533
