susceptible,infected,dead,recovered
3992,8,0,0
3979,20,0,1
3958,36,0,6
3920,67,1,12
3843,132,1,24
3723,228,7,42
3503,401,16,80
3155,662,32,151
2620,1050,53,277
1912,1549,91,448
1238,1939,142,681
711,2096,208,985
409,1960,294,1337
282,1698,367,1653
217,1462,424,1897
172,1232,475,2121
153,995,525,2327
142,833,548,2477
133,676,577,2614
130,541,599,2730
126,428,619,2827
125,344,637,2894
124,286,644,2946
124,226,655,2995
122,191,657,3030
122,153,664,3061
122,131,667,3080
122,116,668,3094
122,96,671,3111
122,77,675,3126
122,60,676,3142
122,53,678,3147
122,42,680,3156
122,33,680,3165
122,31,680,3167
122,23,681,3174
122,20,681,3177
122,16,681,3181
122,13,681,3184
122,11,682,3185
122,7,682,3189
122,7,682,3189
122,7,682,3189
122,6,682,3190
122,3,682,3193
122,3,682,3193
122,3,682,3193
122,2,682,3194
122,1,682,3195
122,0,682,3196
