susceptible,infected,dead,recovered
9990,10,0,0
9987,10,2,1
9978,14,4,4
9949,37,9,5
9876,92,19,13
9723,205,41,31
9443,390,93,74
9029,636,166,169
8472,926,287,315
7826,1149,475,550
7153,1316,719,812
6538,1332,1015,1115
6060,1207,1306,1427
5675,1044,1558,1723
5349,882,1782,1987
5110,703,1989,2198
4967,521,2135,2377
4877,400,2242,2481
4792,311,2322,2575
4734,223,2398,2645
4699,163,2442,2696
4675,121,2471,2733
4650,90,2502,2758
4640,60,2522,2778
4628,47,2534,2791
4619,35,2544,2802
4615,28,2546,2811
4609,20,2555,2816
4602,20,2558,2820
4599,14,2563,2824
4596,10,2567,2827
4593,11,2568,2828
4592,9,2569,2830
4590,6,2572,2832
4590,4,2573,2833
4587,6,2574,2833
4587,5,2574,2834
4587,4,2574,2835
4587,3,2575,2835
4587,2,2575,2836
4587,0,2576,2837
