susceptible,infected,dead,recovered
6995,5,0,0
6994,6,0,0
6994,6,0,0
6994,5,1,0
6991,8,1,0
6985,13,1,1
6977,19,3,1
6967,26,3,4
6956,33,5,6
6940,46,8,6
6925,57,11,7
6906,70,13,11
6878,92,16,14
6841,119,23,17
6809,144,26,21
6754,182,36,28
6701,222,46,31
6616,289,59,36
6520,354,76,50
6414,427,97,62
6272,523,120,85
6091,657,150,102
5875,806,190,129
5618,976,249,157
5324,1175,313,188
4993,1384,382,241
4642,1600,472,286
4278,1805,579,338
3885,2046,666,403
3503,2253,780,464
3116,2435,907,542
2762,2549,1063,626
2450,2622,1208,720
2183,2659,1356,802
1952,2630,1524,894
1746,2592,1689,973
1552,2515,1852,1081
1407,2402,2017,1174
1284,2280,2179,1257
1163,2154,2350,1333
1068,2050,2485,1397
994,1921,2607,1478
932,1789,2730,1549
879,1654,2856,1611
840,1523,2968,1669
805,1398,3076,1721
773,1278,3181,1768
751,1173,3263,1813
725,1108,3315,1852
708,1011,3385,1896
692,936,3438,1934
680,855,3493,1972
672,770,3554,2004
663,690,3613,2034
657,638,3639,2066
653,577,3682,2088
647,530,3716,2107
644,477,3752,2127
639,431,3788,2142
637,392,3811,2160
634,365,3824,2177
633,331,3849,2187
633,302,3868,2197
631,279,3880,2210
630,257,3891,2222
628,236,3906,2230
625,216,3922,2237
622,203,3934,2241
621,186,3944,2249
620,162,3958,2260
617,150,3966,2267
617,137,3975,2271
617,134,3977,2272
617,118,3987,2278
616,112,3993,2279
615,105,3998,2282
615,96,4004,2285
614,86,4011,2289
614,78,4017,2291
614,70,4023,2293
613,63,4029,2295
612,62,4031,2295
612,56,4036,2296
612,50,4039,2299
611,45,4043,2301
611,41,4045,2303
611,36,4045,2308
610,32,4049,2309
610,28,4053,2309
610,26,4055,2309
610,24,4056,2310
610,24,4056,2310
610,21,4056,2313
610,17,4058,2315
610,14,4061,2315
610,14,4061,2315
610,14,4061,2315
610,11,4063,2316
610,10,4064,2316
610,10,4064,2316
610,10,4064,2316
610,10,4064,2316
610,9,4064,2317
610,8,4065,2317
610,8,4065,2317
610,8,4065,2317
610,8,4065,2317
610,6,4066,2318
610,5,4066,2319
610,5,4066,2319
610,5,4066,2319
610,4,4066,2320
610,3,4067,2320
610,3,4067,2320
610,2,4068,2320
610,2,4068,2320
610,2,4068,2320
610,2,4068,2320
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,1,4068,2321
610,0,4069,2321
