susceptible,infected,dead,recovered
1993,7,0,0
1984,15,0,1
1965,30,2,3
1942,42,8,8
1908,59,18,15
1856,90,26,28
1807,111,38,44
1718,159,55,68
1611,202,88,99
1474,264,118,144
1328,317,165,190
1165,345,231,259
991,395,282,332
821,424,343,412
665,410,432,493
529,385,502,584
428,343,577,652
356,282,642,720
296,244,688,772
245,215,725,815
215,170,772,843
188,131,807,874
172,106,826,896
163,76,846,915
153,65,857,925
149,46,868,937
144,38,878,940
142,24,887,947
137,21,890,952
134,15,893,958
130,11,900,959
127,11,902,960
125,11,903,961
124,8,904,964
123,6,906,965
123,3,908,966
123,1,909,967
123,0,910,967
