susceptible,infected,dead,recovered
1998,2,0,0
1996,4,0,0
1994,6,0,0
1988,12,0,0
1977,23,0,0
1970,30,0,0
1959,41,0,0
1943,56,1,0
1917,81,1,1
1878,118,1,3
1824,170,1,5
1738,255,1,6
1617,373,2,8
1465,520,3,12
1265,716,5,14
1043,936,6,15
764,1207,11,18
523,1435,16,26
283,1662,23,32
146,1780,28,46
66,1850,32,52
23,1877,36,64
5,1874,43,78
0,1864,49,87
0,1844,55,101
0,1830,59,111
0,1814,63,123
0,1804,66,130
0,1787,72,141
0,1769,80,151
0,1752,83,165
0,1739,90,171
0,1726,95,179
0,1709,100,191
0,1697,103,200
0,1680,110,210
0,1667,114,219
0,1652,119,229
0,1635,129,236
0,1621,136,243
0,1608,142,250
0,1588,152,260
0,1572,158,270
0,1558,161,281
0,1546,165,289
0,1535,167,298
0,1518,172,310
0,1510,173,317
0,1496,179,325
0,1484,184,332
0,1470,192,338
0,1456,198,346
0,1437,203,360
0,1428,208,364
0,1414,214,372
0,1394,222,384
0,1372,232,396
0,1361,236,403
0,1356,237,407
0,1346,240,414
0,1335,246,419
0,1319,252,429
0,1305,257,438
0,1295,262,443
0,1285,265,450
0,1273,268,459
0,1267,270,463
0,1253,274,473
0,1239,281,480
0,1229,286,485
0,1213,293,494
0,1208,296,496
0,1192,301,507
0,1186,303,511
0,1179,304,517
0,1164,310,526
0,1153,313,534
0,1143,318,539
0,1125,326,549
0,1118,331,551
0,1110,336,554
0,1101,341,558
0,1091,344,565
0,1082,349,569
0,1074,354,572
0,1068,354,578
0,1063,357,580
0,1045,361,594
0,1035,363,602
0,1028,365,607
0,1020,370,610
0,1012,375,613
0,1006,377,617
0,991,381,628
0,980,385,635
0,969,390,641
0,958,392,650
0,952,393,655
0,943,398,659
0,934,401,665
0,920,409,671
0,912,412,676
0,906,414,680
0,895,421,684
0,891,422,687
0,881,423,696
0,870,429,701
0,859,430,711
0,856,430,714
0,841,435,724
0,834,438,728
0,829,440,731
0,823,440,737
0,815,441,744
0,806,444,750
0,801,444,755
0,792,448,760
0,781,449,770
0,772,454,774
0,760,457,783
0,754,459,787
0,751,460,789
0,744,460,796
0,739,461,800
0,727,464,809
0,725,465,810
0,723,467,810
0,720,468,812
0,713,471,816
0,706,477,817
0,701,479,820
0,689,486,825
0,686,487,827
0,678,490,832
0,673,491,836
0,670,492,838
0,662,495,843
0,656,495,849
0,646,498,856
0,640,499,861
0,632,505,863
0,629,506,865
0,625,507,868
0,615,511,874
0,611,512,877
0,606,515,879
0,602,516,882
0,599,517,884
0,596,519,885
0,591,520,889
0,585,524,891
0,581,526,893
0,577,527,896
0,569,532,899
0,562,534,904
0,559,536,905
0,552,539,909
0,547,539,914
0,545,540,915
0,545,540,915
0,539,543,918
0,536,544,920
0,532,545,923
0,523,548,929
0,520,549,931
0,515,551,934
0,513,551,936
0,509,553,938
0,504,555,941
0,497,558,945
0,491,561,948
0,488,561,951
0,481,562,957
0,475,564,961
0,467,564,969
0,463,565,972
0,460,565,975
0,456,566,978
0,454,567,979
0,452,567,981
0,447,568,985
0,440,570,990
0,435,573,992
0,432,574,994
0,427,575,998
0,423,576,1001
0,421,578,1001
0,419,579,1002
0,415,580,1005
0,408,584,1008
0,402,587,1011
0,400,588,1012
0,398,588,1014
0,397,588,1015
0,392,590,1018
0,387,593,1020
0,382,596,1022
0,379,597,1024
0,376,599,1025
0,373,600,1027
0,370,601,1029
0,368,602,1030
0,366,603,1031
0,362,605,1033
0,359,605,1036
0,357,606,1037
0,356,606,1038
0,353,607,1040
0,348,610,1042
0,346,611,1043
0,342,614,1044
0,333,615,1052
0,329,619,1052
0,328,619,1053
0,325,620,1055
0,323,621,1056
