susceptible,infected,dead,recovered
9995,5,0,0
9991,9,0,0
9982,18,0,0
9956,44,0,0
9862,135,0,3
9616,362,1,21
8986,953,10,51
7731,2091,25,153
5946,3623,60,371
4147,5002,94,757
2683,5855,175,1287
1732,6129,253,1886
1191,5977,331,2501
871,5605,408,3116
667,5139,483,3711
528,4637,557,4278
434,4155,626,4785
380,3764,686,5170
337,3369,737,5557
307,2986,781,5926
284,2666,819,6231
271,2370,862,6497
261,2072,901,6766
256,1832,927,6985
252,1619,950,7179
249,1439,963,7349
243,1277,975,7505
240,1122,989,7649
237,970,1011,7782
234,873,1022,7871
234,761,1040,7965
232,675,1049,8044
232,578,1060,8130
231,498,1068,8203
230,435,1080,8255
230,392,1082,8296
230,352,1086,8332
229,305,1092,8374
229,256,1099,8416
227,241,1101,8431
227,226,1101,8446
227,201,1102,8470
227,176,1107,8490
227,144,1111,8518
227,129,1111,8533
227,109,1114,8550
227,92,1116,8565
227,81,1117,8575
227,67,1121,8585
227,58,1122,8593
227,49,1123,8601
227,42,1124,8607
227,36,1125,8612
227,31,1125,8617
227,27,1126,8620
227,23,1127,8623
227,18,1128,8627
227,16,1128,8629
227,13,1128,8632
227,13,1128,8632
227,12,1128,8633
227,10,1128,8635
227,9,1128,8636
227,8,1128,8637
227,6,1128,8639
227,5,1128,8640
227,4,1128,8641
227,2,1128,8643
227,2,1128,8643
227,2,1128,8643
227,2,1128,8643
227,2,1128,8643
227,2,1128,8643
227,2,1128,8643
227,1,1128,8644
227,1,1128,8644
227,1,1128,8644
227,1,1128,8644
227,1,1128,8644
227,0,1128,8645
