susceptible,infected,dead,recovered
597,3,0,0
595,5,0,0
595,4,0,1
592,5,0,3
588,8,1,3
583,12,1,4
577,12,4,7
570,15,5,10
566,15,6,13
561,15,8,16
557,14,11,18
552,12,14,22
548,12,16,24
545,12,18,25
540,11,22,27
538,9,25,28
535,9,28,28
534,5,31,30
533,5,32,30
531,4,33,32
528,4,35,33
528,4,35,33
527,4,36,33
527,4,36,33
525,6,36,33
525,4,36,35
525,3,36,36
525,2,37,36
524,2,37,37
523,3,37,37
522,3,37,38
521,3,38,38
520,3,39,38
519,1,39,41
519,1,39,41
519,1,39,41
519,1,39,41
519,1,39,41
519,0,40,41
