susceptible,infected,dead,recovered
9998,2,0,0
9993,7,0,0
9989,11,0,0
9988,11,1,0
9983,14,2,1
9975,19,2,4
9971,21,3,5
9964,24,4,8
9957,24,8,11
9953,21,10,16
9949,19,14,18
9946,18,18,18
9944,15,20,21
9943,12,21,24
9942,7,25,26
9942,6,25,27
9941,5,26,28
9941,5,26,28
9939,5,26,30
9939,5,26,30
9937,5,27,31
9936,5,27,32
9933,7,27,33
9932,7,27,34
9931,7,27,35
9930,8,27,35
9929,8,27,36
9927,9,28,36
9926,8,29,37
9926,6,29,39
9924,5,30,41
9924,2,32,42
9924,2,32,42
9924,2,32,42
9924,2,32,42
9924,2,32,42
9924,1,33,42
9924,1,33,42
9924,1,33,42
9924,0,33,43
