susceptible,infected,dead,recovered
1995,5,0,0
1990,9,0,1
1986,11,2,1
1977,17,4,2
1968,23,7,2
1957,31,8,4
1941,43,8,8
1921,56,14,9
1896,67,22,15
1866,80,33,21
1834,88,51,27
1798,112,60,30
1756,135,74,35
1707,161,89,43
1651,178,120,51
1591,200,143,66
1507,238,171,84
1429,267,202,102
1332,309,232,127
1215,363,269,153
1110,392,316,182
1000,419,369,212
913,420,416,251
827,409,473,291
747,403,525,325
678,386,577,359
613,382,614,391
550,361,669,420
489,338,726,447
445,310,772,473
389,303,815,493
353,286,845,516
314,266,881,539
290,250,905,555
259,226,938,577
244,199,967,590
224,166,1007,603
213,144,1028,615
206,116,1049,629
200,89,1071,640
198,76,1079,647
194,72,1084,650
190,62,1094,654
187,57,1101,655
187,47,1108,658
185,36,1117,662
184,34,1120,662
181,31,1125,663
178,29,1127,666
174,21,1135,670
170,20,1139,671
167,17,1141,675
167,14,1143,676
167,10,1145,678
166,9,1146,679
166,7,1148,679
166,4,1150,680
166,4,1150,680
166,1,1152,681
166,1,1152,681
166,1,1152,681
166,1,1152,681
166,0,1153,681
