susceptible,infected,dead,recovered
9991,9,0,0
9977,19,1,3
9929,59,4,8
9698,263,20,19
8980,860,83,77
7214,2223,294,269
4886,3590,819,705
3052,3836,1662,1450
2063,3144,2572,2221
1583,2279,3341,2797
1345,1587,3845,3223
1245,1023,4195,3537
1195,633,4432,3740
1170,397,4582,3851
1152,277,4661,3910
1137,174,4724,3965
1133,104,4758,4005
1131,63,4785,4021
1130,31,4802,4037
1130,19,4810,4041
1129,12,4816,4043
1129,8,4818,4045
1129,5,4821,4045
1128,4,4821,4047
1128,2,4823,4047
1128,2,4823,4047
1128,2,4823,4047
1128,1,4824,4047
1128,1,4824,4047
1128,0,4824,4048
