susceptible,infected,dead,recovered
3993,7,0,0
3990,9,1,0
3978,18,1,3
3971,22,2,5
3964,24,4,8
3952,32,4,12
3937,41,6,16
3917,53,10,20
3877,87,13,23
3841,107,21,31
3788,148,26,38
3708,209,30,53
3601,283,48,68
3463,378,65,94
3299,479,91,131
3110,595,119,176
2865,746,151,238
2593,908,189,310
2277,1073,245,405
1962,1232,301,505
1645,1347,393,615
1363,1413,470,754
1110,1465,549,876
881,1473,636,1010
686,1435,721,1158
536,1382,814,1268
426,1271,897,1406
342,1165,979,1514
273,1080,1039,1608
215,975,1102,1708
173,871,1160,1796
150,760,1212,1878
125,665,1255,1955
118,565,1297,2020
105,490,1333,2072
95,429,1366,2110
91,377,1391,2141
90,316,1419,2175
88,274,1435,2203
85,243,1449,2223
83,210,1465,2242
82,167,1488,2263
80,143,1499,2278
80,113,1509,2298
80,94,1514,2312
80,82,1518,2320
79,71,1525,2325
79,60,1527,2334
79,55,1529,2337
79,43,1534,2344
79,38,1535,2348
79,33,1537,2351
79,31,1538,2352
79,26,1540,2355
79,21,1543,2357
79,16,1546,2359
79,13,1548,2360
79,10,1550,2361
79,9,1550,2362
79,7,1550,2364
79,6,1550,2365
79,6,1550,2365
79,5,1551,2365
79,4,1551,2366
79,3,1552,2366
79,3,1552,2366
79,3,1552,2366
79,3,1552,2366
79,3,1552,2366
79,2,1552,2367
79,1,1552,2368
79,1,1552,2368
79,1,1552,2368
79,1,1552,2368
79,1,1552,2368
79,1,1552,2368
79,1,1552,2368
79,0,1553,2368
