susceptible,infected,dead,recovered
994,6,0,0
987,9,2,2
982,13,2,3
972,21,2,5
956,31,4,9
941,37,8,14
916,50,12,22
896,58,15,31
864,76,18,42
843,77,22,58
792,105,29,74
709,160,35,96
637,181,56,126
561,204,75,160
501,202,99,198
450,188,118,244
420,164,134,282
395,141,147,317
378,124,156,342
367,103,165,365
353,95,171,381
341,78,181,400
335,66,191,408
329,61,199,411
324,49,206,421
324,37,210,429
321,29,212,438
318,24,213,445
316,21,214,449
313,17,216,454
312,15,217,456
310,14,217,459
309,14,217,460
309,12,217,462
309,6,218,467
309,4,219,468
309,2,220,469
309,2,220,469
309,2,220,469
309,2,220,469
308,2,220,470
308,0,221,471
