susceptible,infected,dead,recovered
3996,4,0,0
3993,5,2,0
3992,5,3,0
3992,3,5,0
3991,3,5,1
3991,3,5,1
3990,3,6,1
3987,5,7,1
3984,6,9,1
3983,5,10,2
3982,4,12,2
3978,7,13,2
3964,16,17,3
3960,13,20,7
3957,14,22,7
3950,18,23,9
3948,15,27,10
3941,18,29,12
3933,19,32,16
3928,16,40,16
3917,21,44,18
3903,30,47,20
3878,42,58,22
3846,67,64,23
3822,69,81,28
3781,87,101,31
3731,115,121,33
3669,149,144,38
3616,166,170,48
3531,207,206,56
3447,234,251,68
3384,244,294,78
3291,272,346,91
3208,276,414,102
3140,270,474,116
3060,288,527,125
2986,281,591,142
2926,258,657,159
2874,245,708,173
2833,221,765,181
2798,191,815,196
2770,161,865,204
2732,149,902,217
2708,122,940,230
2687,110,966,237
2668,103,989,240
2650,89,1017,244
2643,70,1042,245
2636,60,1054,250
2626,61,1061,252
2620,47,1074,259
2614,37,1084,265
2610,30,1092,268
2605,19,1105,271
2603,15,1111,271
2601,14,1114,271
2600,11,1118,271
2600,6,1123,271
2600,4,1125,271
2599,4,1125,272
2599,2,1127,272
2598,3,1127,272
2597,3,1128,272
2597,3,1128,272
2596,4,1128,272
2596,1,1129,274
2596,1,1129,274
2596,1,1129,274
2596,1,1129,274
2596,1,1129,274
2596,1,1129,274
2596,0,1130,274
